Wavelength (nm)	Absorbance
390	0.158282721
391	0.159841647
392	0.161400574
393	0.162959501
394	0.164518428
395	0.166276118
396	0.168266042
397	0.170255967
398	0.172245891
399	0.174235815
400	0.176225739
401	0.178215663
402	0.180205587
403	0.182195512
404	0.184185436
405	0.186432605
406	0.188699817
407	0.190967029
408	0.193234241
409	0.195501454
410	0.197768666
411	0.200035878
412	0.20230309
413	0.204570303
414	0.207014582
415	0.209495746
416	0.211976911
417	0.214458075
418	0.21693924
419	0.219420404
420	0.221901568
421	0.224395554
422	0.2273429
423	0.230290245
424	0.233237591
425	0.236184937
426	0.239132283
427	0.242079629
428	0.245054657
429	0.248296242
430	0.251537827
431	0.254779413
432	0.258020998
433	0.261262583
434	0.264504168
435	0.26795895
436	0.271559453
437	0.275159956
438	0.278760459
439	0.282360963
440	0.285961466
441	0.28967371
442	0.293486145
443	0.297298579
444	0.301111013
445	0.304923447
446	0.308735881
447	0.312804744
448	0.316904059
449	0.321003374
450	0.325102689
451	0.329202004
452	0.333728993
453	0.338444747
454	0.3431605
455	0.347876254
456	0.352994119
457	0.358825625
458	0.364657132
459	0.370488639
460	0.376399603
461	0.382403712
462	0.388407822
463	0.394411932
464	0.400626728
465	0.407006865
466	0.413387002
467	0.419806079
468	0.426602312
469	0.433398545
470	0.440194777
471	0.446686697
472	0.452997485
473	0.459308273
474	0.46561906
475	0.471929848
476	0.478240636
477	0.484551423
478	0.490814121
479	0.497055559
480	0.503296997
481	0.509522711
482	0.5156948
483	0.521866889
484	0.528038978
485	0.534411356
486	0.540846973
487	0.547282589
488	0.553718206
489	0.5616099
490	0.569738667
491	0.577867434
492	0.586619199
493	0.595952801
494	0.605286403
495	0.614854911
496	0.624841212
497	0.634827513
498	0.644871962
499	0.654934787
500	0.665774426
501	0.678988622
502	0.690767907
503	0.699759404
504	0.708750902
505	0.717290919
506	0.725736125
507	0.734397661
508	0.743798346
509	0.753199031
510	0.75970354
511	0.764480537
512	0.769257534
513	0.774034531
514	0.778811528
515	0.781180479
516	0.783156284
517	0.785132089
518	0.787107894
519	0.789083699
520	0.791059504
521	0.793035309
522	0.795070476
523	0.798043104
524	0.801015732
525	0.803988361
526	0.806960989
527	0.809933617
528	0.812906245
529	0.815878873
530	0.823776031
531	0.831765073
532	0.839990837
533	0.850531933
534	0.861073029
535	0.871978606
536	0.883259428
537	0.89454025
538	0.905986159
539	0.917451912
540	0.928432574
541	0.938240793
542	0.948049012
543	0.95693782
544	0.965780908
545	0.974090995
546	0.97717767
547	0.980264345
548	0.98335102
549	0.986437695
550	0.98952437
551	0.992611045
552	0.992061864
553	0.989012175
554	0.985962486
555	0.982912798
556	0.979863109
557	0.97681342
558	0.973189656
559	0.963928855
560	0.953981184
561	0.941520064
562	0.929058943
563	0.915158891
564	0.900802042
565	0.886870585
566	0.873231887
567	0.85900104
568	0.844243693
569	0.829745063
570	0.815246433
571	0.81214574
572	0.809533091
573	0.806920441
574	0.804307792
575	0.801695143
576	0.802072582
577	0.806855222
578	0.811637862
579	0.816420502
580	0.821203142
581	0.825985782
582	0.833499413
583	0.845419998
584	0.857443463
585	0.870481134
586	0.883400336
587	0.896107773
588	0.906979245
589	0.916278658
590	0.925854645
591	0.937623013
592	0.948679256
593	0.956979418
594	0.965279579
595	0.972152146
596	0.974932378
597	0.977712609
598	0.980492841
599	0.983273073
600	0.986053305
601	0.98340074
602	0.977491562
603	0.971582384
604	0.965673206
605	0.959764028
606	0.951344633
607	0.939531209
608	0.921307195
609	0.889641705
610	0.865192739
611	0.836096849
612	0.791521288
613	0.751017875
614	0.720394355
615	0.678189946
616	0.610517693
617	0.562311002
618	0.539888923
619	0.462547903
620	0.438351664
621	0.401388479
622	0.341182445
623	0.294489381
624	0.268010558
625	0.246262613
626	0.22074029
627	0.201598699
628	0.186471302
629	0.171019794
630	0.155185034
631	0.140417583
632	0.12740513
633	0.11788825
634	0.112289869
635	0.106691488
636	0.101093106
637	0.096652219
638	0.092812688
639	0.088973158
640	0.085133628
641	0.081294097
642	0.077454567
643	0.074850281
644	0.073099596
