Wavelength (nm),Absorbance
390,0.131522135
391,0.132274088
392,0.133026041
393,0.133777994
394,0.134529947
395,0.135472206
396,0.136636816
397,0.137801426
398,0.138966036
399,0.140130646
400,0.141295256
401,0.142459866
402,0.143624476
403,0.144789086
404,0.145953696
405,0.147288452
406,0.148636465
407,0.149984478
408,0.151332491
409,0.152680504
410,0.154028518
411,0.155376531
412,0.156724544
413,0.158072557
414,0.159489264
415,0.16101151
416,0.162533756
417,0.164056002
418,0.165578248
419,0.167100494
420,0.16862274
421,0.170144986
422,0.171667233
423,0.173189479
424,0.174861706
425,0.176558185
426,0.178254664
427,0.179951143
428,0.181647622
429,0.183344102
430,0.185040581
431,0.18673706
432,0.188433539
433,0.190211069
434,0.192155142
435,0.194099216
436,0.196043289
437,0.197987362
438,0.199931436
439,0.201875509
440,0.203819582
441,0.205763656
442,0.207707729
443,0.209921169
444,0.212204538
445,0.214487907
446,0.216771276
447,0.219054646
448,0.221338015
449,0.223621384
450,0.225904753
451,0.228188122
452,0.23052218
453,0.233000174
454,0.235478168
455,0.237956162
456,0.240434155
457,0.242912149
458,0.245390143
459,0.247868136
460,0.250357869
461,0.25327054
462,0.256183212
463,0.259095883
464,0.262008554
465,0.264921225
466,0.267833896
467,0.270772899
468,0.27396693
469,0.277160961
470,0.280354993
471,0.283549024
472,0.286743055
473,0.289937087
474,0.293318601
475,0.296828526
476,0.30033845
477,0.303848375
478,0.307358299
479,0.310868224
480,0.314610291
481,0.318560915
482,0.32251154
483,0.326462165
484,0.33041279
485,0.334363414
486,0.33871371
487,0.343111717
488,0.347509725
489,0.351907732
490,0.356337246
491,0.360984071
492,0.365630895
493,0.37027772
494,0.374924544
495,0.379609487
496,0.384362227
497,0.389114967
498,0.393867706
499,0.398635317
500,0.403949016
501,0.409262714
502,0.414576413
503,0.419886993
504,0.425176035
505,0.430465076
506,0.435754117
507,0.441182726
508,0.447088206
509,0.452993685
510,0.458899165
511,0.464591391
512,0.469843446
513,0.475095501
514,0.480347556
515,0.485991832
516,0.492163921
517,0.49833601
518,0.504508099
519,0.510680188
520,0.516852277
521,0.523024366
522,0.529469908
523,0.536196792
524,0.542923675
525,0.549643902
526,0.556116505
527,0.562589107
528,0.56906171
529,0.576609692
530,0.584165465
531,0.591721238
532,0.59874789
533,0.605752171
