Wavelength (nm)	Absorbance
390	0.121252341
391	0.122398611
392	0.123544881
393	0.12469115
394	0.12583742
395	0.127085186
396	0.12845154
397	0.129817893
398	0.131184246
399	0.1325506
400	0.133916953
401	0.135283307
402	0.13664966
403	0.138016014
404	0.139382367
405	0.140852753
406	0.142331244
407	0.143809736
408	0.145288227
409	0.146766718
410	0.14824521
411	0.149723701
412	0.151202192
413	0.152680684
414	0.154242797
415	0.15582233
416	0.157401862
417	0.158981395
418	0.160560928
419	0.16214046
420	0.163719993
421	0.165649717
422	0.167989146
423	0.170328575
424	0.172668004
425	0.175007433
426	0.177346863
427	0.179686292
428	0.182025721
429	0.18436515
430	0.186704579
431	0.189044008
432	0.191383437
433	0.193722866
434	0.196062295
435	0.198401725
436	0.200741154
437	0.203080583
438	0.205420012
439	0.207869581
440	0.210336005
441	0.212802428
442	0.215268852
443	0.217735275
444	0.220201699
445	0.222668122
446	0.225134545
447	0.227951438
448	0.23080995
449	0.233668463
450	0.236526976
451	0.239385488
452	0.242244001
453	0.245350101
454	0.248837381
455	0.252324661
456	0.255811941
457	0.259299221
458	0.262786501
459	0.266338909
460	0.270025346
461	0.273711783
462	0.27739822
463	0.281084657
464	0.284771094
465	0.288786667
466	0.292947626
467	0.297108585
468	0.301269544
469	0.305430503
470	0.309622163
471	0.313845326
472	0.318068489
473	0.322291652
474	0.326514815
475	0.331313754
476	0.336329096
477	0.341344439
478	0.346359781
479	0.351392586
480	0.356452312
481	0.361512038
482	0.366571764
483	0.371650146
484	0.377020557
485	0.382390967
486	0.387761378
487	0.393131789
488	0.39890893
489	0.404839067
490	0.410769204
491	0.416699341
492	0.422772153
493	0.428874893
494	0.434977633
495	0.441280042
496	0.447937576
497	0.454595111
498	0.461252645
499	0.468529599
500	0.475880626
501	0.483231654
502	0.490500995
503	0.497660486
504	0.504819978
505	0.512412192
506	0.520672466
507	0.52893274
508	0.536760006
509	0.544474292
510	0.552188577
511	0.559521526
512	0.566733855
513	0.573946184
514	0.581219469
515	0.588639845
516	0.596060222
517	0.603480599
518	0.610385259
519	0.617181492
520	0.623977724
521	0.630773957
522	0.63757019
523	0.644366423
524	0.651162656
525	0.657958889
526	0.664755122
527	0.671551355
528	0.678613564
529	0.686033941
530	0.693454318
531	0.700874694
532	0.708272892
533	0.715670152
534	0.723067413
535	0.73080719
536	0.738574313
537	0.746663001
538	0.755416425
539	0.76416985
540	0.772632378
541	0.780985118
542	0.789392212
543	0.798176459
544	0.806960706
545	0.815469379
546	0.823729653
547	0.831989926
548	0.839671287
549	0.847306317
550	0.854941346
551	0.861538879
552	0.868011482
553	0.874484085
554	0.880956687
555	0.884833507
556	0.888690649
557	0.892547792
558	0.896404935
559	0.900262078
560	0.904119221
561	0.905781482
562	0.907267659
563	0.908753836
564	0.910240013
565	0.91172619
566	0.913212366
567	0.914698543
568	0.91618472
569	0.917608206
570	0.91885229
571	0.920096375
572	0.92134046
573	0.922584544
574	0.923828629
575	0.925072714
576	0.926316798
577	0.927560883
578	0.929088366
579	0.932116619
580	0.935144873
581	0.938173126
582	0.94120138
583	0.944229633
584	0.947257886
585	0.950576212
586	0.954891281
587	0.959206349
588	0.963521418
589	0.967836486
590	0.972121485
591	0.975250486
592	0.978379488
593	0.981508489
594	0.984637491
595	0.987766492
596	0.990895494
597	0.994024495
598	0.994436243
599	0.993439393
600	0.992442542
601	0.991445692
602	0.990448842
603	0.989451992
604	0.988455142
605	0.986238075
606	0.981059993
607	0.97588191
608	0.970703828
609	0.964511405
610	0.956744282
611	0.948977159
612	0.940526745
613	0.931896608
614	0.923015927
615	0.91307894
616	0.903141954
617	0.888667649
618	0.873303467
619	0.863382436
620	0.853461404
621	0.840192449
622	0.8265061
623	0.813191032
624	0.801482843
625	0.79060887
626	0.779065221
627	0.76682892
628	0.754592619
629	0.744159349
630	0.73394544
631	0.723499465
632	0.710184396
633	0.699892163
634	0.691992946
635	0.684093729
636	0.676199133
637	0.668308722
638	0.660418311
639	0.652935076
640	0.645484978
641	0.63803488
642	0.632236344
643	0.626639084
644	0.621041824
645	0.615444563
646	0.610292175
647	0.605143682
648	0.599995188
649	0.594846695
650	0.589865299
651	0.584970778
652	0.580076257
653	0.575181737
654	0.569213854
655	0.562903066
656	0.556592278
657	0.55008822
658	0.54311366
659	0.536139101
660	0.528896652
661	0.520882953
662	0.512869255
663	0.502511928
664	0.490935216
665	0.48069737
666	0.471847076
667	0.462996783
668	0.453558825
669	0.443424578
670	0.432082161
671	0.417796202
672	0.405343781
673	0.394345796
674	0.383403153
675	0.372947411
676	0.362638418
677	0.352837048
678	0.343035679
679	0.333128404
680	0.32277224
681	0.312416076
682	0.303152591
683	0.294645742
684	0.286138892
685	0.277876356
686	0.269616082
687	0.261672417
688	0.254222319
689	0.246772221
690	0.23975412
691	0.233512682
692	0.227271244
693	0.221029805
694	0.215537842
695	0.210137842
696	0.204737842
697	0.199337842
698	0.194679917
699	0.190611424
700	0.186542931
701	0.182474437
702	0.178405944
703	0.174639893
704	0.171417975
705	0.168196057
706	0.164974139
707	0.161752221
708	0.158530304
709	0.155308386
710	0.152826858
711	0.150468701
712	0.148110545
713	0.145752388
714	0.143394231
715	0.141036074
716	0.138677917
717	0.13631976
718	0.134099804
719	0.132467516
720	0.130835228
721	0.12920294
722	0.127570652
723	0.125938364
724	0.124306076
725	0.122673788
726	0.1210415
727	0.119409212
728	0.118066087
729	0.116873966
730	0.115681846
731	0.114489726
732	0.113297605
733	0.112105485
734	0.110913364
735	0.109721244
736	0.108529123
737	0.107370974
738	0.106453958
739	0.105536942
740	0.104619927
741	0.103702911
742	0.102785895
743	0.101868879
744	0.100951864
745	0.100034848
746	0.099117832
747	0.098325262
748	0.09761916
749	0.096913058
750	0.096206956
751	0.095500853
752	0.094794751
753	0.094088649
754	0.093382547
755	0.092676445
756	0.091973456
757	0.091322374
758	0.090671293
759	0.090020212
760	0.089369131
761	0.08871805
762	0.088066969
763	0.087415887
764	0.086764806
765	0.086113725
766	0.085520209
767	0.08497917
768	0.08443813
769	0.083897091
770	0.083356052
771	0.082815013
772	0.082273973
773	0.081732934
774	0.081191895
775	0.080650856
776	0.080173344
777	0.079696496
778	0.079219648
779	0.078742799
780	0.078265951
781	0.077789103
782	0.077312255
783	0.076835407
784	0.076358559
785	0.075915179
786	0.075511692
787	0.075108205
788	0.074704718
789	0.074301231
790	0.073897744
791	0.073494257
792	0.07309077
793	0.072687283
794	0.072283796
795	0.07215955
796	0.072058678
797	0.071957806
798	0.071856934
799	0.071756063
