Wavelength (nm),Absorbance
360,0.239652979
361,0.240940428
362,0.242227877
363,0.243515327
364,0.244802776
365,0.246388664
366,0.248191093
367,0.249993522
368,0.251795951
369,0.253598381
370,0.25541498
371,0.25729251
372,0.25917004
373,0.261047571
374,0.262925101
375,0.264802632
376,0.266680162
377,0.268557692
378,0.270435223
379,0.272947368
380,0.275951417
381,0.278955466
382,0.281959514
383,0.284963563
384,0.288140351
385,0.292145749
386,0.296151147
387,0.300156545
388,0.304161943
389,0.307846154
390,0.310850202
391,0.313854251
392,0.3168583
393,0.319862348
394,0.322866397
395,0.325870445
396,0.329087719
397,0.332342105
398,0.335596491
399,0.338850877
400,0.342105263
401,0.345359649
402,0.34902924
403,0.353368421
404,0.357707602
405,0.362046784
406,0.366385965
407,0.371611336
408,0.377619433
409,0.38362753
410,0.389412955
411,0.39467004
412,0.399927126
413,0.405184211
414,0.410441296
415,0.415780477
416,0.421121008
417,0.426461538
418,0.431802069
419,0.436992713
420,0.441198381
421,0.445404049
422,0.449609717
423,0.453815385
424,0.458021053
425,0.462727733
426,0.467609312
427,0.472490891
428,0.47737247
429,0.481706883
430,0.485311741
431,0.488916599
432,0.492521457
433,0.496126316
434,0.499731174
435,0.503336032
436,0.506940891
437,0.510545749
438,0.514150607
439,0.517755466
440,0.520809717
441,0.523563428
442,0.526317139
443,0.52907085
444,0.531824561
445,0.534578273
446,0.537036437
447,0.538128819
448,0.5392212
449,0.540313581
450,0.541405962
451,0.542498344
452,0.542574899
453,0.53957085
454,0.536566802
455,0.533562753
456,0.530558704
457,0.527554656
458,0.524550607
459,0.521546559
460,0.51854251
461,0.515538462
462,0.512534413
463,0.510090688
464,0.508288259
465,0.50648583
466,0.504683401
467,0.502880972
468,0.500421053
469,0.489906883
470,0.479392713
471,0.473020243
472,0.467012146
473,0.461004049
474,0.457463968
475,0.455060729
476,0.45265749
477,0.450254251
478,0.447851012
479,0.444388664
480,0.438380567
481,0.43237247
482,0.42582996
483,0.410809717
484,0.408070175
485,0.405566802
486,0.403063428
487,0.400560054
488,0.39805668
489,0.395553306
490,0.392024291
491,0.387518219
492,0.383012146
493,0.378506073
494,0.374055725
495,0.369829028
496,0.365602331
497,0.361375635
498,0.357148938
499,0.353828752
500,0.353997405
501,0.354166057
502,0.35433471
503,0.354503362
504,0.354672015
505,0.354840668
506,0.35500932
507,0.355177973
508,0.355346626
509,0.355515278
510,0.355683931
511,0.356825231
512,0.358985167
513,0.361145103
514,0.363305038
515,0.365464974
516,0.36762491
517,0.369784846
518,0.371944781
519,0.374615512
520,0.377956553
521,0.381297595
522,0.384638636
523,0.387979677
524,0.391320718
525,0.394661759
526,0.398556335
527,0.402986317
528,0.4074163
529,0.411846282
530,0.416276265
531,0.420706247
532,0.425323815
533,0.430504266
534,0.435684717
535,0.440865168
536,0.44604562
537,0.451210743
538,0.456267008
539,0.461323273
540,0.466379538
541,0.471435803
542,0.476610425
543,0.481992679
544,0.487374933
545,0.492757186
546,0.49813944
547,0.50368707
548,0.509240008
549,0.514792947
550,0.520345885
551,0.524545138
552,0.528659378
553,0.532773618
554,0.536887859
555,0.541002099
556,0.547495858
557,0.558906194
558,0.569134679
559,0.575838519
560,0.582542359
561,0.589246199
562,0.595846671
563,0.602087224
564,0.608327777
565,0.614568331
566,0.620808884
567,0.627554
568,0.63440323
569,0.641252461
570,0.648008272
571,0.654298568
572,0.660588863
573,0.666879159
574,0.673151721
575,0.679314572
576,0.685477423
577,0.691640275
578,0.697859387
579,0.704528375
580,0.711197363
581,0.717866351
582,0.724512432
583,0.731130442
584,0.737748452
585,0.744366462
586,0.750319617
587,0.755359743
588,0.760399869
589,0.765439995
590,0.770480121
591,0.775520247
592,0.783252647
593,0.791191919
594,0.79913119
595,0.804955023
596,0.810777155
597,0.816599287
598,0.82242142
599,0.828207359
600,0.83396967
601,0.839731982
602,0.845494293
603,0.850912687
604,0.85607899
605,0.861245294
606,0.866411597
607,0.8715779
608,0.876703764
609,0.88182055
610,0.886937336
611,0.892054122
612,0.897170908
613,0.902287694
614,0.90740448
615,0.912521266
616,0.917638052
617,0.922619444
618,0.927278785
619,0.931938126
620,0.936597466
621,0.941256807
622,0.94581342
623,0.949866502
624,0.953919583
625,0.957972665
626,0.962025746
627,0.966078828
628,0.969755718
629,0.972597426
630,0.975439135
631,0.978280844
632,0.981122552
633,0.983964261
634,0.986805969
635,0.989647678
636,0.990634285
637,0.991596325
638,0.992558365
639,0.993520406
640,0.994482446
641,0.995444487
642,0.996406527
643,0.997368567
644,0.996574054
645,0.995649254
646,0.994724454
647,0.993799654
648,0.992874854
649,0.991950054
650,0.991025254
651,0.990100454
652,0.987535589
653,0.984736362
654,0.981937134
655,0.979137907
656,0.97633868
657,0.973539453
658,0.970740226
659,0.967231322
660,0.963144933
661,0.959058543
662,0.954972153
663,0.950885764
664,0.946799374
665,0.9426729
666,0.938463656
667,0.934254412
668,0.930045168
669,0.925835923
670,0.921626679
671,0.916045505
672,0.910190392
673,0.904335279
674,0.898480166
675,0.892625052
676,0.887161202
677,0.88343355
678,0.879705899
679,0.875978247
680,0.872250596
681,0.868522944
682,0.864795293
683,0.861050782
684,0.856344439
685,0.851638096
686,0.846931754
687,0.842225411
688,0.837519068
689,0.832313766
690,0.826656142
691,0.820998517
692,0.815340892
693,0.809676741
694,0.803969049
695,0.798261357
696,0.792553664
697,0.78680125
698,0.780656605
699,0.77451196
700,0.768367315
701,0.76215129
702,0.755046715
703,0.747942141
704,0.740837566
705,0.73145023
706,0.718812365
707,0.709451965
708,0.703005777
709,0.6956677
710,0.671064285
711,0.66575515
712,0.660446015
713,0.655136879
714,0.647242334
715,0.63678449
716,0.626350456
717,0.616283317
718,0.606216178
719,0.596092678
720,0.585912291
721,0.575029585
722,0.562512716
723,0.550381107
724,0.538684492
725,0.526987615
726,0.515267274
727,0.503546933
728,0.492149451
729,0.480884269
730,0.469576342
731,0.458227714
732,0.446879086
733,0.435530458
734,0.424250799
735,0.413486292
736,0.402721785
737,0.390272431
738,0.377709356
739,0.366944849
740,0.356180341
741,0.345037833
742,0.333674692
743,0.322789551
744,0.313549826
745,0.304310101
746,0.29518723
747,0.286695786
748,0.278204342
749,0.269670979
750,0.260778995
751,0.251887011
752,0.243050578
753,0.235203796
754,0.227357013
755,0.219510231
756,0.21193054
757,0.204604
758,0.197277459
759,0.190091338
760,0.183409606
761,0.176727874
762,0.170046141
763,0.163523924
764,0.157682718
765,0.151841513
766,0.146000307
767,0.140159101
768,0.134450676
769,0.128776362
770,0.123102048
771,0.117427734
772,0.11220445
773,0.107653674
774,0.103102898
775,0.098552122
776,0.094001346
777,0.089675387
778,0.085942415
779,0.082209443
780,0.078476471
781,0.074743498
782,0.071010526
783,0.067312514
784,0.064281156
785,0.061249797
786,0.058218439
787,0.055187081
788,0.052155723
789,0.049124365
790,0.046093007
791,0.043910837
792,0.042048823
793,0.040186809
794,0.038324796
795,0.036462782
796,0.034600769
797,0.032738755
798,0.030876742
799,0.029347521
