wavelength	absor
360	0.318458418
361	0.319837728
362	0.321217039
363	0.323935091
364	0.327383367
365	0.330831643
366	0.334279919
367	0.337728195
368	0.341176471
369	0.344624746
370	0.348073022
371	0.351521298
372	0.355326572
373	0.360292089
374	0.365257606
375	0.370223124
376	0.375188641
377	0.380154158
378	0.384219067
379	0.38663286
380	0.389046653
381	0.391460446
382	0.393874239
383	0.396288032
384	0.398701826
385	0.401115619
386	0.403529412
387	0.405943205
388	0.416470588
389	0.427505071
390	0.4336714
391	0.43643002
392	0.439188641
393	0.441947262
394	0.444705882
395	0.447464503
396	0.450223124
397	0.454077079
398	0.458904665
399	0.463732252
400	0.468559838
401	0.473387424
402	0.47954023
403	0.485977011
404	0.492413793
405	0.497227857
406	0.498147397
407	0.499066937
408	0.499986477
409	0.500906018
410	0.501825558
411	0.502745098
412	0.504259635
413	0.507707911
414	0.511156187
415	0.514604462
416	0.518052738
417	0.519884092
418	0.52027818
419	0.520672269
420	0.521066358
421	0.521460446
422	0.521854535
423	0.522248624
424	0.522642712
425	0.522596349
426	0.521492901
427	0.520389452
428	0.519286004
429	0.518182556
430	0.517079108
431	0.515618661
432	0.513648218
433	0.511677775
434	0.509707331
435	0.507736888
436	0.505766445
437	0.503796001
438	0.501825558
439	0.498498986
440	0.488843813
441	0.479188641
442	0.470808006
443	0.462700487
444	0.454592968
445	0.448215154
446	0.442140917
447	0.436066679
448	0.429992441
449	0.423918204
450	0.415190952
451	0.40620635
452	0.397221747
453	0.390400836
454	0.385804952
455	0.381209069
456	0.376613185
457	0.372017301
458	0.367421417
459	0.363544306
460	0.359768134
461	0.355991961
462	0.352215788
463	0.348439616
464	0.344663443
465	0.34088727
466	0.333553903
467	0.32585415
468	0.318154396
469	0.313219055
470	0.309412429
471	0.305605803
472	0.301799177
473	0.29799255
474	0.294185924
475	0.290379298
476	0.28763383
477	0.284983882
478	0.282333935
479	0.279683987
480	0.277034039
481	0.274384091
482	0.271734144
483	0.269084196
484	0.267878423
485	0.266787961
486	0.2656975
487	0.264607039
488	0.263516577
489	0.262426116
490	0.261335655
491	0.260245194
492	0.259154732
493	0.259302732
494	0.259481531
495	0.259660331
496	0.25983913
497	0.26001793
498	0.260196729
499	0.260375529
500	0.260554328
501	0.261186716
502	0.262680019
503	0.264173321
504	0.265666624
505	0.267159927
506	0.26865323
507	0.270146533
508	0.271639836
509	0.273133139
510	0.275123505
511	0.277513115
512	0.279902726
513	0.282292336
514	0.284681946
515	0.287071557
516	0.289461167
517	0.291850778
518	0.294349852
519	0.297408402
520	0.300466951
521	0.3035255
522	0.30658405
523	0.309642599
524	0.312701148
525	0.315759698
526	0.318782961
527	0.321541582
528	0.324300203
529	0.327058824
530	0.329817444
531	0.332576065
532	0.335334686
533	0.338093306
534	0.340851927
535	0.345239989
536	0.34984531
537	0.354450631
538	0.359055952
539	0.363661272
540	0.368266593
541	0.372198068
542	0.375948068
543	0.379698068
544	0.383448068
545	0.387198068
546	0.390948068
547	0.394786382
548	0.398760109
549	0.402733837
550	0.406707564
551	0.410681292
552	0.414655019
553	0.418864038
554	0.423424207
555	0.427984376
556	0.432544545
557	0.437104714
558	0.441664883
559	0.445952365
560	0.450174743
561	0.454397122
562	0.458619501
563	0.462841879
564	0.467117376
565	0.471588766
566	0.476060157
567	0.480531548
568	0.485002938
569	0.489485424
570	0.494542895
571	0.499600366
572	0.504657838
573	0.509715309
574	0.514606729
575	0.518923275
576	0.523239822
577	0.527556369
578	0.531872916
579	0.536189462
580	0.540550322
581	0.545702842
582	0.550855362
583	0.556007882
584	0.561160402
585	0.566479565
586	0.57201449
587	0.577549414
588	0.583084339
589	0.588619264
590	0.594020438
591	0.599001281
592	0.603982124
593	0.608962967
594	0.613943809
595	0.618879903
596	0.623760539
597	0.628641176
598	0.633521812
599	0.638402449
600	0.643327682
601	0.648385153
602	0.653442624
603	0.658500096
604	0.663557567
605	0.668617253
606	0.673713038
607	0.678808824
608	0.683904609
609	0.689000395
