Wavelength (nm)	Absorbance
360	0.300040766
361	0.300627803
362	0.301214839
363	0.303856502
364	0.307085202
365	0.310313901
366	0.313542601
367	0.3167713
368	0.32
369	0.3232287
370	0.326457399
371	0.329686099
372	0.335784753
373	0.342242152
374	0.346008969
375	0.348430493
376	0.350852018
377	0.353273543
378	0.355874439
379	0.359103139
380	0.362331839
381	0.365560538
382	0.368789238
383	0.372017937
384	0.375246637
385	0.378475336
386	0.381704036
387	0.385578475
388	0.390744395
389	0.395910314
390	0.401076233
391	0.406242152
392	0.411408072
393	0.416741405
394	0.422122571
395	0.427503737
396	0.432543242
397	0.437155669
398	0.441768097
399	0.446380525
400	0.450992953
401	0.455605381
402	0.460217809
403	0.464830237
404	0.471210762
405	0.478475336
406	0.48573991
407	0.493004484
408	0.499659193
409	0.504179372
410	0.508699552
411	0.513219731
412	0.51773991
413	0.52226009
414	0.533452915
415	0.547982063
416	0.559210762
417	0.566313901
418	0.57341704
419	0.580520179
420	0.587623318
421	0.594726457
422	0.600538117
423	0.606188341
424	0.611838565
425	0.617488789
426	0.623210762
427	0.629022422
428	0.634834081
429	0.64064574
430	0.646457399
431	0.652269058
432	0.660568012
433	0.669177877
434	0.677787743
435	0.685201794
436	0.691659193
437	0.698116592
438	0.704573991
439	0.71103139
440	0.717488789
441	0.723946188
442	0.730403587
443	0.736860987
444	0.743318386
445	0.755156951
446	0.771300448
447	0.783811659
448	0.789058296
449	0.794304933
450	0.79955157
451	0.804798206
452	0.810044843
453	0.81529148
454	0.820538117
455	0.825784753
456	0.830672646
457	0.835112108
458	0.83955157
459	0.843991031
460	0.848430493
461	0.852869955
462	0.857309417
463	0.861748879
464	0.866188341
465	0.870951669
466	0.875974091
467	0.880996512
468	0.886018934
469	0.891041355
470	0.896063777
471	0.901086198
472	0.90610862
473	0.911131041
474	0.916153463
475	0.923049327
476	0.931443946
477	0.939838565
478	0.948233184
479	0.956627803
480	0.965022422
481	0.970096092
482	0.975169763
483	0.980243434
484	0.985317104
485	0.990390775
486	0.995464446
487	1.000538117
488	1.00529148
489	1.008923767
490	1.012556054
491	1.016188341
492	1.019820628
493	1.023452915
494	1.027085202
495	1.030717489
496	1.034349776
497	1.037693786
498	1.040461243
499	1.0432287
500	1.045996156
501	1.048763613
502	1.05153107
503	1.054298527
504	1.057065983
505	1.059013453
506	1.060304933
507	1.061596413
508	1.062887892
509	1.064179372
510	1.065470852
511	1.066762332
512	1.068053812
513	1.069345291
514	1.070636771
515	1.071928251
516	1.072964624
517	1.073682113
518	1.074399601
519	1.07511709
520	1.075834579
521	1.076552068
522	1.077269557
523	1.077987045
524	1.078704534
525	1.079422023
526	1.079461883
527	1.078654709
528	1.077847534
529	1.077040359
530	1.076233184
531	1.075426009
532	1.074618834
533	1.073811659
534	1.073004484
535	1.071928251
536	1.070636771
537	1.069345291
538	1.068053812
539	1.066762332
540	1.065470852
541	1.064179372
542	1.062887892
543	1.061596413
544	1.060304933
545	1.059013453
546	1.056542103
547	1.052595914
548	1.048649726
549	1.044703538
550	1.040757349
551	1.036811161
552	1.032864973
553	1.028918784
554	1.024972596
555	1.021026408
556	1.017809097
557	1.015502883
558	1.013196669
559	1.010890455
560	1.008584241
561	1.006278027
562	1.003971813
563	1.001665599
564	0.999605381
565	0.997668161
566	0.995730942
567	0.993793722
568	0.991856502
569	0.989919283
570	0.987982063
571	0.986044843
572	0.984107623
