Wavelength (nm),Absorbance
360,0.365075512
361,0.366643286
362,0.36821106
363,0.369778834
364,0.371346608
365,0.372839168
366,0.373895681
367,0.374952195
368,0.376008708
369,0.377065221
370,0.378121735
371,0.379178248
372,0.380234762
373,0.381291275
374,0.382347789
375,0.383404302
376,0.386488313
377,0.390440432
378,0.394392551
379,0.39834467
380,0.402296789
381,0.406248908
382,0.410201027
383,0.414153146
384,0.418105266
385,0.422013558
386,0.425823626
387,0.429633693
388,0.433443761
389,0.437253828
390,0.441063895
391,0.445019974
392,0.453726107
393,0.462432241
394,0.471138374
395,0.477765836
396,0.480094017
397,0.482422199
398,0.484750381
399,0.487078562
400,0.489406744
401,0.491734926
402,0.494063108
403,0.498870752
404,0.504046876
405,0.509223001
406,0.514399125
407,0.51957525
408,0.524751375
409,0.529927499
410,0.538276632
411,0.546673604
412,0.555070575
413,0.563467547
414,0.570166581
415,0.576176827
416,0.582187072
417,0.588197317
418,0.594207562
419,0.597748726
420,0.601194516
421,0.604640306
422,0.608086096
423,0.611531886
424,0.61518797
425,0.619031955
426,0.62287594
427,0.626719925
428,0.63056391
429,0.634407895
430,0.63825188
431,0.649569079
432,0.664368421
433,0.670700658
434,0.673839912
435,0.676979167
436,0.680118421
437,0.683257675
438,0.68639693
439,0.68981109
440,0.693270677
441,0.696730263
442,0.70018985
443,0.703649436
444,0.707109023
445,0.71056391
446,0.713639098
447,0.716714286
448,0.719789474
449,0.722864662
450,0.72593985
451,0.729015038
452,0.731877193
453,0.733671053
454,0.735464912
455,0.737258772
456,0.739052632
457,0.740846491
458,0.742640351
459,0.744434211
460,0.74622807
461,0.746948308
462,0.745795113
463,0.744641917
464,0.743488722
465,0.742335526
466,0.741182331
467,0.740029135
468,0.738776316
469,0.737430921
470,0.736085526
471,0.734740132
472,0.733394737
473,0.732049342
474,0.729478947
475,0.72625
476,0.723021053
477,0.719792105
478,0.716563158
479,0.714561842
480,0.712947368
481,0.711332895
482,0.709718421
483,0.708103947
484,0.699697368
485,0.690279605
486,0.688243421
487,0.686898026
488,0.685552632
489,0.684207237
490,0.682861842
491,0.681364102
492,0.676739273
493,0.672114445
494,0.667489616
495,0.662864787
496,0.658239958
497,0.653381125
498,0.648373267
499,0.643365409
500,0.638357551
501,0.633349692
502,0.628341834
503,0.624238247
504,0.620221248
505,0.61620425
506,0.612187251
507,0.608170253
508,0.604153254
509,0.600136256
510,0.596119257
511,0.595018862
512,0.594474033
513,0.593929204
514,0.593384374
515,0.592839545
516,0.592294716
517,0.591749887
518,0.591205057
519,0.590660228
520,0.590115399
521,0.590892785
522,0.593711707
523,0.596530629
524,0.599349552
525,0.602168474
526,0.604987396
527,0.607806319
528,0.610625241
529,0.613444163
530,0.618192533
531,0.623293205
532,0.628393878
533,0.63349455
534,0.638595222
535,0.643695895
536,0.648936109
537,0.654244303
538,0.659552497
539,0.66486069
540,0.670168884
541,0.675824122
542,0.681905306
543,0.68798649
544,0.694067675
545,0.700148859
546,0.706569259
547,0.713134785
548,0.719700311
549,0.726265838
550,0.732831364
551,0.73898713
552,0.74512213
553,0.75125713
554,0.75739213
555,0.763516197
556,0.769597381
557,0.775678565
558,0.781759749
559,0.787840934
560,0.794068895
561,0.800472974
562,0.806877053
563,0.813281132
564,0.819685211
565,0.826051298
566,0.832401561
567,0.838751824
568,0.845102087
569,0.851452351
570,0.85708131
571,0.862678153
572,0.868274995
573,0.873871837
574,0.879442463
575,0.884913735
576,0.890385007
577,0.895856279
578,0.901327551
579,0.906798823
580,0.911623301
581,0.916438139
582,0.921252976
583,0.926067814
584,0.930882652
585,0.935697489
586,0.939715191
587,0.943548499
588,0.947381806
589,0.951215113
590,0.95504842
591,0.958881728
592,0.962715035
593,0.966249807
594,0.968690543
595,0.971131279
596,0.973572016
597,0.976012752
598,0.978453488
599,0.980894224
600,0.983334961
601,0.985775697
602,0.988216433
603,0.989006136
604,0.989144752
605,0.989283369
606,0.989421985
607,0.989560602
608,0.989699218
609,0.989837834
610,0.989976451
611,0.990115067
612,0.990253684
613,0.990174529
614,0.98950737
615,0.98884021
616,0.988173051
617,0.987505892
618,0.986838733
619,0.986171573
620,0.985504414
621,0.984837255
622,0.984170095
623,0.983502936
624,0.981461366
625,0.976456178
626,0.971450989
627,0.9664458
628,0.961440611
629,0.956435423
630,0.951430234
631,0.946487997
632,0.941761867
633,0.937035737
634,0.932309606
635,0.927583476
