Wavelength (nm)	Absorbance
360	0.335065789
361	0.337083882
362	0.339101974
363	0.341120066
364	0.343138158
365	0.345187844
366	0.347357961
367	0.349528078
368	0.351698195
369	0.353868312
370	0.356038429
371	0.359737875
372	0.365315613
373	0.370893352
374	0.376471091
375	0.382048829
376	0.388457948
377	0.395223038
378	0.401988127
379	0.406557583
380	0.409066682
381	0.411575781
382	0.41408488
383	0.416593979
384	0.419103078
385	0.422013558
386	0.425823626
387	0.429633693
388	0.433443761
389	0.437253828
390	0.441063895
391	0.445019974
392	0.453726107
393	0.462432241
394	0.471138374
395	0.477765836
396	0.480094017
397	0.482422199
398	0.484750381
399	0.487078562
400	0.489406744
401	0.491734926
402	0.494063108
403	0.500291315
404	0.507099117
405	0.513607248
406	0.517691365
407	0.521775483
408	0.525859601
409	0.529943719
410	0.538306086
411	0.546732955
412	0.555159824
413	0.563586693
414	0.570344823
415	0.576426007
416	0.582507191
417	0.588588375
418	0.59466956
419	0.607503882
420	0.620599057
421	0.632701323
422	0.637059968
423	0.641418613
424	0.645777258
425	0.650135903
426	0.654494548
427	0.658853193
428	0.661947368
429	0.664253759
430	0.66656015
431	0.668866541
432	0.671172932
433	0.673479323
434	0.675785714
435	0.675486842
436	0.674410526
437	0.673334211
438	0.672257895
439	0.671181579
440	0.670105263
441	0.669028947
442	0.667952632
443	0.666876316
444	0.6658
445	0.662680921
446	0.659541667
447	0.656402412
448	0.653263158
449	0.650123904
450	0.646776316
451	0.641932895
452	0.637089474
453	0.632246053
454	0.627402632
455	0.621934211
456	0.6144
457	0.606865789
458	0.599331579
459	0.591797368
460	0.582236842
461	0.568782895
462	0.558655263
463	0.553811842
464	0.548968421
465	0.544125
466	0.539281579
467	0.5315
468	0.520736842
469	0.509973684
470	0.494671053
471	0.483304276
472	0.47725
473	0.471195724
474	0.465141447
475	0.446875
476	0.435736842
477	0.430355263
478	0.424973684
479	0.419592105
480	0.414210526
481	0.408828947
482	0.403447368
483	0.396924342
484	0.390197368
485	0.383470395
486	0.376743421
487	0.373292105
488	0.370063158
489	0.366834211
490	0.363605263
491	0.360528572
492	0.360577133
493	0.360625694
494	0.360674255
495	0.360722816
496	0.360771377
497	0.360819939
498	0.3608685
499	0.360917061
500	0.361748663
501	0.364526427
502	0.367304192
503	0.370081956
504	0.372859721
505	0.375637485
506	0.37841525
507	0.381193014
508	0.383970779
509	0.386748543
510	0.390511667
511	0.394537174
512	0.39856268
513	0.402588187
514	0.406613693
515	0.4106392
516	0.414804845
517	0.419819498
518	0.424834151
519	0.429848804
520	0.434863457
521	0.43987811
522	0.445092419
523	0.450324509
524	0.4555566
525	0.46078869
526	0.466020781
527	0.471318616
528	0.476849684
529	0.482380751
530	0.487911818
531	0.493442885
532	0.498973953
533	0.50483533
534	0.510999684
535	0.517164038
536	0.523328392
537	0.529492746
538	0.535680437
539	0.541923068
540	0.5481657
541	0.554408332
542	0.560650963
543	0.566795018
544	0.572858264
545	0.578921509
546	0.584984755
547	0.591048
548	0.597658806
549	0.604405712
550	0.611152617
551	0.617899522
552	0.62463592
553	0.631362894
554	0.638089868
555	0.644816841
556	0.651373322
557	0.657427598
558	0.663481874
559	0.669536151
560	0.675590427
561	0.682611306
562	0.689652205
563	0.696693104
564	0.703734003
565	0.710287334
566	0.716637598
567	0.722987861
568	0.729338124
569	0.735688387
570	0.741987129
571	0.748283576
572	0.754580023
573	0.760876471
574	0.767172918
575	0.773469365
576	0.779765813
577	0.78606226
578	0.792358707
579	0.798756965
580	0.805274655
581	0.811792345
582	0.818310035
583	0.824732968
584	0.830742398
585	0.836751827
586	0.842761257
587	0.848770687
588	0.854598043
589	0.860191624
590	0.865785204
591	0.871378785
592	0.876972365
593	0.88253623
594	0.887991194
595	0.893446158
596	0.898901122
597	0.904356086
598	0.90981105
599	0.914415609
600	0.919012375
601	0.92360914
602	0.928205905
603	0.932802671
604	0.937216664
605	0.941188782
606	0.9451609
607	0.949133017
608	0.953105135
609	0.957077253
610	0.961049371
611	0.965602209
612	0.970475281
613	0.975348353
614	0.980221424
615	0.985094496
616	0.988153794
617	0.988719673
618	0.989285552
619	0.989851431
620	0.990417311
621	0.99098319
622	0.991549069
623	0.992105263
624	0.992105263
625	0.992105263
626	0.992105263
627	0.992105263
628	0.992105263
629	0.992105263
630	0.992105263
631	0.99201909
632	0.991572951
633	0.991126813
634	0.990680675
635	0.990234537
636	0.989788398
637	0.98866828
638	0.986395551
639	0.984122822
640	0.981850093
641	0.979577364
642	0.977304635
643	0.975031906
644	0.972759177
645	0.970486448
646	0.968110034
647	0.962389372
648	0.95666871
649	0.950948048
650	0.945227386
651	0.939506723
652	0.933786061
653	0.955613772
654	0.948699404
655	0.941785036
656	0.934870668
657	0.9279563
658	0.921041932
659	0.914127564
660	0.907811583
661	0.90171246
662	0.895613337
663	0.889514214
664	0.882777804
