Wavelength (nm)	Absorbance
438	0.319796954
439	0.370558376
440	0.375634518
441	0.38071066
442	0.436548223
443	0.456852792
444	0.456852792
445	0.497461929
446	0.487309645
447	0.497461929
448	0.507614213
449	0.507614213
450	0.507614213
451	0.497461929
452	0.487309645
453	0.482233503
454	0.487309645
455	0.482233503
456	0.487309645
457	0.492385787
458	0.502538071
459	0.512690355
460	0.527918782
461	0.517766497
462	0.527918782
463	0.527918782
464	0.527918782
465	0.527918782
466	0.532994924
467	0.502538071
468	0.517766497
469	0.502538071
470	0.47715736
471	0.467005076
472	0.446700508
473	0.365482234
474	0.375634518
475	0.329949239
476	0.299492386
477	0.295847976
478	0.292203566
479	0.288559157
480	0.284914747
481	0.281270337
482	0.277625927
483	0.273981518
484	0.270337108
485	0.266692698
486	0.263048288
487	0.259403879
488	0.255759469
489	0.252115059
490	0.248470649
491	0.24482624
492	0.24118183
493	0.23753742
494	0.233893011
495	0.230248601
496	0.226604191
497	0.222959781
498	0.219315372
499	0.215670962
500	0.212026552
501	0.208382142
502	0.204737733
503	0.201093323
504	0.197448913
505	0.193804503
506	0.190160094
507	0.186515684
508	0.182871274
509	0.179226865
510	0.175582455
511	0.171938045
512	0.168293635
513	0.164649226
514	0.161004816
515	0.157360406
516	0.152284264
517	0.16751269
518	0.172588832
519	0.177664975
520	0.182741117
521	0.187817259
522	0.192893401
523	0.203045685
524	0.197969543
525	0.203045685
526	0.223350254
527	0.232777375
528	0.242204496
529	0.251631617
530	0.261058738
531	0.270485859
532	0.27991298
533	0.289340102
534	0.298767223
535	0.308194344
536	0.317621465
537	0.327048586
538	0.336475707
539	0.345902828
540	0.355329949
541	0.365482234
542	0.38071066
543	0.390862944
544	0.406091371
545	0.416243655
546	0.431472081
547	0.446700508
548	0.456852792
549	0.472081218
550	0.487309645
551	0.502538071
552	0.517766497
553	0.532994924
554	0.553299492
555	0.568527919
556	0.588832487
557	0.604060914
558	0.61928934
559	0.639593909
560	0.654822335
561	0.675126904
562	0.695431472
563	0.710659898
564	0.725888325
565	0.741116751
566	0.766497462
567	0.776649746
568	0.796954315
569	0.817258883
570	0.83248731
571	0.847715736
572	0.862944162
573	0.873096447
574	0.893401015
575	0.908629442
576	0.918781726
577	0.92893401
578	0.939086294
579	0.940609137
580	0.947208122
581	0.953807107
582	0.960406091
583	0.967005076
584	0.973604061
585	0.980203046
586	0.98680203
587	0.993401015
588	1
589	1
590	1
591	1
592	0.992385787
593	0.994923858
594	0.974619289
595	0.969543147
596	0.964467005
597	0.969543147
598	0.959390863
599	0.954314721
600	0.912980421
601	0.897026831
602	0.881073241
603	0.865119652
604	0.849166062
605	0.833212473
606	0.817258883
607	0.817258883
608	0.796954315
609	0.78680203
610	0.771573604
611	0.78680203
612	0.78680203
613	0.730964467
614	0.720812183
615	0.705583756
616	0.695431472
617	0.695431472
618	0.680203046
619	0.664974619
620	0.649746193
621	0.629441624
622	0.626903553
623	0.624365482
624	0.609137056
625	0.593908629
626	0.573604061
627	0.538071066
628	0.507614213
629	0.47715736
630	0.467005076
631	0.472081218
632	0.45177665
633	0.378172589
634	0.345177665
635	0.360406091
636	0.324873096
637	0.304568528
638	0.274111675
639	0.248730964
640	0.30964467
641	0.197969543
642	0.253807107
643	0.162436548
644	0.14213198
645	0.126903553
646	0.116751269
647	0.096446701
648	0.086294416
649	0.076142132
650	0.065989848
651	0.060913706
652	0.050761421
653	0.045685279
654	0.025380711
655	0.030456853
656	0.020304569
657	0.020304569
658	0.015228426
659	0.010152284
660	0.015228426
661	0.010152284
662	0.005076142
663	0
664	0
665	0
