Wavelength (nm)	Absorbance
438	0.360824742
439	0.365979381
440	0.396907216
441	0.412371134
442	0.412371134
443	0.405588714
444	0.398806294
445	0.392023874
446	0.385241454
447	0.378459034
448	0.371676614
449	0.364894194
450	0.358111774
451	0.351329354
452	0.344546934
453	0.337764514
454	0.330982094
455	0.324199674
456	0.317417254
457	0.310634835
458	0.303852415
459	0.297069995
460	0.290287575
461	0.283505155
462	0.276722735
463	0.269940315
464	0.263157895
465	0.256375475
466	0.249593055
467	0.242810635
468	0.236028215
469	0.229245795
470	0.222463375
471	0.215680955
472	0.208898535
473	0.202116115
474	0.195333695
475	0.188551275
476	0.181768855
477	0.174986435
478	0.168204015
479	0.161421595
480	0.154639175
481	0.139175258
482	0.139175258
483	0.12371134
484	0.113402062
485	0.108247423
486	0.103092784
487	0.092783505
488	0.092783505
489	0.082474227
490	0.085051546
491	0.087628866
492	0.087628866
493	0.082474227
494	0.087628866
495	0.093996361
496	0.100363857
497	0.106731352
498	0.113098848
499	0.119466343
500	0.125833839
501	0.132201334
502	0.13856883
503	0.144936325
504	0.15130382
505	0.157671316
506	0.164038811
507	0.170406307
508	0.176773802
509	0.183141298
510	0.189508793
511	0.195876289
512	0.202243784
513	0.20861128
514	0.214978775
515	0.22134627
516	0.227713766
517	0.234081261
518	0.240448757
519	0.246816252
520	0.253183748
521	0.259551243
522	0.265918739
523	0.272286234
524	0.27865373
525	0.285021225
526	0.29138872
527	0.297756216
528	0.304123711
529	0.310491207
530	0.316858702
531	0.323226198
532	0.329593693
533	0.335961189
534	0.342328684
535	0.34869618
536	0.355063675
537	0.36143117
538	0.367798666
539	0.374166161
540	0.380533657
541	0.386901152
542	0.393268648
543	0.399636143
544	0.406003639
545	0.412371134
546	0.417525773
547	0.43814433
548	0.43814433
549	0.463917526
550	0.474226804
551	0.489690722
552	0.505154639
553	0.530927835
554	0.541237113
555	0.556701031
556	0.572164948
557	0.592783505
558	0.603092784
559	0.62371134
560	0.639175258
561	0.659793814
562	0.675257732
563	0.695876289
564	0.701030928
565	0.731958763
566	0.75257732
567	0.768041237
568	0.788659794
569	0.804123711
570	0.819587629
571	0.835051546
572	0.855670103
573	0.865979381
574	0.881443299
575	0.896907216
576	0.912371134
577	0.922680412
578	0.93814433
579	0.948453608
580	0.953608247
581	0.963917526
582	0.974226804
583	0.994845361
584	0.984536082
585	0.981443299
586	0.983505155
587	0.98556701
588	0.987628866
589	0.989690722
590	0.991752577
591	0.993814433
592	0.995876289
593	0.997938144
594	1
595	0.994845361
596	0.989690722
597	0.974226804
598	0.963917526
599	0.958762887
600	0.948453608
601	0.93814433
602	0.927835052
603	0.912371134
604	0.902061856
605	0.886597938
606	0.871134021
607	0.860824742
608	0.850515464
609	0.835051546
610	0.819587629
611	0.809278351
612	0.788659794
613	0.778350515
614	0.768041237
615	0.75257732
616	0.742268041
617	0.726804124
618	0.706185567
619	0.690721649
620	0.680412371
621	0.659793814
622	0.644329897
623	0.62371134
624	0.598510882
625	0.578465063
626	0.558419244
627	0.538373425
628	0.518327606
629	0.498281787
630	0.478235968
631	0.458190149
632	0.43814433
633	0.427835052
634	0.412371134
635	0.396907216
636	0.37628866
637	0.355670103
638	0.340206186
639	0.319587629
640	0.304123711
641	0.288659794
642	0.273195876
643	0.257731959
644	0.242268041
645	0.226804124
646	0.211340206
647	0.195876289
648	0.18556701
649	0.170103093
650	0.159793814
651	0.149484536
652	0.139175258
653	0.128865979
654	0.113402062
655	0.108247423
656	0.092783505
657	0.087628866
658	0.082474227
659	0.072164948
660	0.067010309
661	0.056701031
662	0.056701031
663	0.051546392
664	0.046391753
665	0.041237113
666	0.030927835
667	0.030927835
668	0.025773196
669	0.025773196
670	0.020618557
671	0.020618557
672	0.015463918
673	0.010309278
674	0.010309278
675	0.010309278
676	0.008591065
677	0.006872852
678	0.005154639
679	0.00257732
680	0
681	0
