Wavelength (nm),Absorbance
438,0.430232558
439,0.459302326
440,0.494186047
441,0.523255814
442,0.569767442
443,0.593023256
444,0.622093023
445,0.639534884
446,0.651162791
447,0.656976744
448,0.645348837
449,0.656976744
450,0.651162791
451,0.639534884
452,0.622093023
453,0.598837209
454,0.581395349
455,0.563953488
456,0.546511628
457,0.558139535
458,0.563953488
459,0.569767442
460,0.563953488
461,0.562015504
462,0.560077519
463,0.558139535
464,0.540697674
465,0.529069767
466,0.540697674
467,0.51744186
468,0.5
469,0.461563307
470,0.434754522
471,0.407945736
472,0.381136951
473,0.354328165
474,0.32751938
475,0.300710594
476,0.273901809
477,0.247093023
478,0.220284238
479,0.193475452
480,0.166666667
481,0.139857881
482,0.113049096
483,0.08624031
484,0.059431525
485,0.032622739
486,0.005813953
487,0.005813953
488,0.005813953
489,0.005813953
490,0.005813953
491,0.005813953
492,0
493,0.011627907
494,0.002906977
495,0.005813953
496,0.023255814
497,0.029069767
498,0.01744186
499,0.023255814
500,0.029069767
501,0.046511628
502,0.052325581
503,0.058139535
504,0.069767442
505,0.075581395
506,0.081395349
507,0.087209302
508,0.087209302
509,0.104651163
510,0.110465116
511,0.104651163
512,0.127906977
513,0.11627907
514,0.145348837
515,0.156976744
516,0.162790698
517,0.174418605
518,0.186046512
519,0.191860465
520,0.186046512
521,0.197674419
522,0.226744186
523,0.238372093
524,0.25
525,0.26744186
526,0.279069767
527,0.290697674
528,0.302325581
529,0.319767442
530,0.331395349
531,0.348837209
532,0.360465116
533,0.377906977
534,0.389534884
535,0.412790698
536,0.424418605
537,0.441860465
538,0.459302326
539,0.476744186
540,0.494186047
541,0.511627907
542,0.529069767
543,0.546511628
544,0.569767442
545,0.581395349
546,0.604651163
547,0.622093023
548,0.639534884
549,0.656976744
550,0.680232558
551,0.697674419
552,0.715116279
553,0.73255814
554,0.755813953
555,0.76744186
556,0.790697674
557,0.802325581
558,0.819767442
559,0.831395349
560,0.854651163
561,0.86627907
562,0.88372093
563,0.895348837
564,0.901162791
565,0.918604651
566,0.906976744
567,0.918604651
568,0.947674419
569,0.952761628
570,0.957848837
571,0.962936047
572,0.968023256
573,0.973110465
574,0.978197674
575,0.983284884
576,0.988372093
577,1
578,1
579,1
580,1
581,1
582,0.988372093
583,0.979328165
584,0.970284238
585,0.96124031
586,0.952196382
587,0.943152455
588,0.934108527
589,0.925064599
590,0.916020672
591,0.906976744
592,0.912790698
593,0.901162791
594,0.88372093
595,0.872093023
596,0.854651163
597,0.837209302
598,0.819767442
599,0.802325581
600,0.784883721
601,0.76744186
602,0.755813953
603,0.738372093
604,0.720930233
605,0.703488372
606,0.691860465
607,0.674418605
608,0.662790698
609,0.651162791
610,0.639534884
611,0.627906977
612,0.622093023
613,0.610465116
614,0.598837209
615,0.593023256
616,0.581395349
617,0.569767442
618,0.563953488
619,0.552325581
620,0.540697674
621,0.505813953
622,0.51744186
623,0.505813953
624,0.488372093
625,0.476744186
