Wavelength (nm)	Absorbance
355	0.303687367
356	0.307727531
357	0.315570267
358	0.321902807
359	0.32465729
360	0.335237556
361	0.341717416
362	0.355330974
363	0.353650035
364	0.371504129
365	0.37056676
366	0.381781895
367	0.387223403
368	0.385484312
369	0.402489384
370	0.408625148
371	0.41530644
372	0.426622435
373	0.427783518
374	0.437927342
375	0.445180084
376	0.452944562
377	0.449195526
378	0.457078143
379	0.458022568
380	0.468578438
381	0.474343123
382	0.47196892
383	0.489448723
384	0.490498703
385	0.491551865
386	0.500055673
387	0.495084403
388	0.499294645
389	0.518383994
390	0.517454823
391	0.51847924
392	0.529889125
393	0.537801103
394	0.534858692
395	0.533932974
396	0.542506509
397	0.539448691
398	0.540969097
399	0.538916372
400	0.535018637
401	0.530816053
402	0.526686797
403	0.526819533
404	0.51317056
405	0.509558693
406	0.521019344
407	0.508377447
408	0.50500401
409	0.491425041
410	0.486454224
411	0.479749056
412	0.473698042
413	0.46470394
414	0.457704175
415	0.448673155
416	0.43858929
417	0.425166717
418	0.415453267
419	0.399769168
420	0.389769757
421	0.378367775
422	0.367663914
423	0.351133699
424	0.33559849
425	0.328258847
426	0.30941472
427	0.294292521
428	0.284357348
429	0.281511737
430	0.262866243
431	0.245889685
432	0.234404812
433	0.222919939
434	0.203412951
435	0.199468648
436	0.205754188
437	0.183907527
438	0.178487379
439	0.171998378
440	0.161487615
441	0.160709287
442	0.151838346
443	0.150460162
444	0.145625737
445	0.141820241
446	0.137746461
447	0.138205856
448	0.134697806
449	0.131432767
450	0.132958953
451	0.131136589
452	0.131136589
453	0.131136589
454	0.131136589
455	0.131136589
456	0.131136589
457	0.131136589
458	0.131136589
459	0.131353966
460	0.132202079
461	0.131143047
462	0.13405591
463	0.13696662
464	0.139337894
465	0.139574664
466	0.143283557
467	0.141868837
468	0.146958716
469	0.148796296
470	0.14960946
471	0.150547063
472	0.154506881
473	0.156344461
474	0.159903279
475	0.159095541
476	0.162935126
477	0.166180467
478	0.169855626
479	0.168895966
480	0.172860816
481	0.178506959
482	0.178027129
483	0.181282024
484	0.183846662
485	0.18998962
486	0.190152192
487	0.194276805
488	0.198799717
489	0.201995753
490	0.202452308
491	0.206772411
492	0.21094987
493	0.214680762
494	0.214776598
495	0.221654399
496	0.22547519
497	0.22458351
498	0.23041649
499	0.234896496
500	0.237762208
501	0.242513564
502	0.248328144
503	0.24818955
504	0.25037037
505	0.255194425
506	0.260838642
507	0.263142015
508	0.270024062
509	0.272135173
510	0.274772352
511	0.279520642
512	0.285668918
513	0.29134871
514	0.29165039
515	0.296139656
516	0.301302548
517	0.306492569
518	0.307636471
519	0.315132814
520	0.317442793
521	0.322027896
522	0.327003539
523	0.332288924
524	0.337803256
525	0.34249407
526	0.347571126
527	0.351237163
528	0.357975166
529	0.36198443
530	0.367364001
531	0.369872848
532	0.376904673
533	0.382316095
534	0.387426537
535	0.393164661
536	0.398227884
537	0.402787686
538	0.406690728
539	0.412003008
540	0.417770819
541	0.423478349
542	0.428456535
543	0.433923056
544	0.441979712
545	0.445882755
546	0.453976796
547	0.458159085
548	0.464112999
549	0.469452229
550	0.479122317
551	0.481651864
552	0.490707671
553	0.497123673
554	0.503814622
555	0.505694208
556	0.511865062
557	0.523227354
558	0.525330975
559	0.534066526
560	0.540162538
561	0.545824016
562	0.554636944
563	0.563886294
564	0.568254777
565	0.573886118
566	0.579572187
567	0.589168376
568	0.597173862
569	0.601767634
570	0.610305733
571	0.615774946
572	0.6255046
573	0.630269727
574	0.637564873
575	0.646913659
576	0.654979529
577	0.658322639
578	0.667763741
579	0.674522293
580	0.684093418
581	0.688453645
582	0.699506015
583	0.703170058
584	0.715374381
585	0.720864797
586	0.722843831
587	0.735356452
588	0.742326492
589	0.747432884
590	0.759000141
591	0.761299363
592	0.758313753
593	0.780253412
594	0.783141779
595	0.794094881
596	0.801631517
597	0.803730479
598	0.815720276
599	0.819967699
600	0.829966502
601	0.837605213
602	0.841298774
603	0.851061895
604	0.857664779
605	0.863349228
606	0.869880161
607	0.868314934
608	0.877381458
609	0.887692768
610	0.893789691
611	0.902456711
612	0.908858093
613	0.912867357
614	0.918466501
615	0.92176038
616	0.927540457
617	0.933858044
618	0.939211548
619	0.942266101
620	0.949616419
621	0.950494024
622	0.956644197
623	0.961619014
624	0.963862986
625	0.969748997
626	0.966984397
627	0.975524373
628	0.977555084
629	0.978860148
630	0.983229771
631	0.986387913
632	0.989432499
633	0.991437131
634	0.9899297
635	0.993730479
636	0.996977117
637	0.998814697
638	1.00021084
639	1.001589024
640	1.002447747
641	1.002447747
642	1.002447747
643	1.001999419
644	1.00093371
645	1.002945299
646	1.002485905
647	1.00202651
648	0.998409059
649	0.998742717
650	0.997624204
651	0.995060864
652	0.995136117
653	0.993298538
654	0.991460958
655	0.987015806
656	0.983454588
657	0.983454588
658	0.979034324
659	0.972782024
660	0.971378155
661	0.967620065
662	0.962593222
663	0.954593654
664	0.953917433
665	0.946106364
666	0.936279429
667	0.933781434
668	0.929137061
669	0.922708304
670	0.910711961
671	0.907823308
672	0.896195643
673	0.880834317
674	0.875523135
675	0.865584053
676	0.852797088
677	0.843396367
678	0.836673508
679	0.821903554
680	0.807582112
681	0.796467268
682	0.779807856
683	0.768034677
684	0.757572699
685	0.750058681
686	0.725396219
687	0.720048362
688	0.703190375
689	0.683667138
690	0.664866006
691	0.651892192
692	0.636893135
693	0.620577672
694	0.602552253
695	0.590789338
696	0.572718094
697	0.553513859
698	0.545273887
699	0.539578791
700	0.499743336
701	0.485447157
702	0.476014155
703	0.457476351
704	0.436910592
705	0.421951521
706	0.409054612
707	0.392453606
708	0.378242039
709	0.367461618
710	0.350134151
711	0.330899092
712	0.319511205
713	0.302539456
714	0.291777542
715	0.280157585
716	0.271391365
717	0.256990447
718	0.242938311
719	0.237305791
720	0.221628686
721	0.214093418
722	0.205285964
723	0.194172329
724	0.184554848
725	0.173742313
726	0.170681765
727	0.159800956
728	0.152598254
729	0.149765864
730	0.141820241
731	0.131493355
732	0.127586696
733	0.124756783
734	0.115323485
735	0.110172063
736	0.104907762
737	0.103988971
738	0.096205237
739	0.094218009
740	0.091442235
741	0.087214909
742	0.08607832
743	0.082419025
744	0.079662656
745	0.075344185
746	0.071782968
747	0.06822175
748	0.06822175
749	0.067441436
750	0.063473461
751	0.062080612
752	0.058341354
753	0.059310804
754	0.057505662
755	0.056586872
756	0.052789809
757	0.052375147
758	0.051017221
759	0.049440434
760	0.048821892
761	0.047512916
762	0.046594126
763	0.045675336
764	0.043390304
765	0.04237842
766	0.041731894
767	0.040353857
768	0.03724652
769	0.037788452
770	0.036869662
771	0.034997877
772	0.033409766
773	0.032926221
774	0.032007431
775	0.031088641
776	0.029841944
777	0.028237556
778	0.027974227
779	0.027043849
780	0.026494692
781	0.025575902
782	0.022401215
783	0.02194182
784	0.021038925
785	0.020738854
786	0.020388417
787	0.019346397
788	0.017049422
789	0.01621777
