Wavelength (nm),Absorbance
435,0.084337349
436,0.085843373
437,0.087349398
438,0.088855422
439,0.090361446
440,0.090361446
441,0.090361446
442,0.090361446
443,0.090361446
444,0.090361446
445,0.090361446
446,0.096385542
447,0.096385542
448,0.096385542
449,0.096385542
450,0.102409639
451,0.100401606
452,0.098393574
453,0.096385542
454,0.108433735
455,0.108433735
456,0.108433735
457,0.114457831
458,0.114457831
459,0.114457831
460,0.120481928
461,0.11746988
462,0.126506024
463,0.129518072
464,0.13253012
465,0.114457831
466,0.126506024
467,0.138554217
468,0.13253012
469,0.126506024
470,0.13253012
471,0.138554217
472,0.144578313
473,0.15060241
474,0.156626506
475,0.144578313
476,0.162650602
477,0.153614458
478,0.156626506
479,0.174698795
480,0.165662651
481,0.168674699
482,0.174698795
483,0.178714859
484,0.182730924
485,0.186746988
486,0.21686747
487,0.21686747
488,0.222891566
489,0.228915663
490,0.21686747
491,0.234939759
492,0.253012048
493,0.259036145
494,0.265060241
495,0.277108434
496,0.28313253
497,0.289156627
498,0.301204819
499,0.289156627
500,0.319277108
501,0.331325301
502,0.343373494
503,0.34939759
504,0.361445783
505,0.36746988
506,0.379518072
507,0.391566265
508,0.397590361
509,0.415662651
510,0.427710843
511,0.43373494
512,0.427710843
513,0.463855422
514,0.475903614
515,0.493975904
516,0.506024096
517,0.524096386
518,0.536144578
519,0.548192771
520,0.56626506
521,0.578313253
522,0.596385542
523,0.674698795
524,0.626506024
525,0.626506024
526,0.656626506
527,0.668674699
528,0.680722892
529,0.692771084
530,0.704819277
531,0.692771084
532,0.734939759
533,0.753012048
534,0.765060241
535,0.777108434
536,0.795180723
537,0.813253012
538,0.831325301
539,0.84939759
540,0.86746988
541,0.885542169
542,0.903614458
543,0.921686747
544,0.939759036
545,0.957831325
546,0.969879518
547,0.981927711
548,0.963855422
549,0.975903614
550,1
551,1
552,1
553,1
554,1
555,0.993975904
556,0.987951807
557,0.957831325
558,0.963855422
559,0.957831325
560,0.951807229
561,0.939759036
562,0.93373494
563,0.921686747
564,0.921686747
565,0.93373494
566,0.939759036
567,0.927710843
568,0.945783133
569,0.951807229
570,0.939759036
571,0.945783133
572,0.957831325
573,0.957831325
574,0.951807229
575,0.915662651
576,0.915662651
577,0.921686747
578,0.885542169
579,0.873493976
580,0.843373494
581,0.813253012
582,0.789156627
583,0.771084337
584,0.680722892
585,0.602409639
586,0.560240964
587,0.5
588,0.445783133
589,0.385542169
590,0.325301205
591,0.307228916
592,0.240963855
593,0.186746988
594,0.15060241
595,0.120481928
596,0.105851979
597,0.091222031
598,0.076592083
599,0.061962134
600,0.047332186
601,0.032702238
602,0.018072289
603,0.021084337
604,0.024096386
605,0.021084337
606,0.018072289
607,0.018072289
608,0.012048193
609,0.012048193
610,0.012048193
611,0.012048193
612,0.012048193
613,0.012048193
614,0.009036145
615,0.006024096
616,0.006024096
617,0.003012048
618,0
619,0
