Wavelength (nm)	Absorbance
350	0.24554
351	0.24565
352	0.24588
353	0.24722
354	0.24834
355	0.24891
356	0.25306
357	0.25497
358	0.25609
359	0.25777
360	0.25901
361	0.2599
362	0.26069
363	0.26136
364	0.26204
365	0.26293
366	0.26361
367	0.26417
368	0.26518
369	0.26619
370	0.26731
371	0.26922
372	0.27056
373	0.27281
374	0.27483
375	0.27674
376	0.27954
377	0.28111
378	0.28268
379	0.28426
380	0.28605
381	0.2883
382	0.28908
383	0.29065
384	0.29155
385	0.29402
386	0.29447
387	0.29671
388	0.29941
389	0.30053
390	0.30288
391	0.30502
392	0.30704
393	0.30872
394	0.31052
395	0.31276
396	0.31377
397	0.31702
398	0.31826
399	0.32005
400	0.32263
401	0.32881
402	0.32869
403	0.33352
404	0.3361
405	0.33924
406	0.34261
407	0.34519
408	0.34912
409	0.35249
410	0.35608
411	0.35956
412	0.36259
413	0.36618
414	0.37055
415	0.37482
416	0.37931
417	0.38312
418	0.38739
419	0.39244
420	0.39771
421	0.40153
422	0.40568
423	0.41017
424	0.41387
425	0.41769
426	0.4215
427	0.42678
428	0.43115
429	0.43587
430	0.44372
431	0.44428
432	0.45494
433	0.46044
434	0.46751
435	0.47324
436	0.48199
437	0.49175
438	0.50039
439	0.50544
440	0.51319
441	0.52059
442	0.52946
443	0.53069
444	0.54203
445	0.54854
446	0.5565
447	0.55886
448	0.57098
449	0.57188
450	0.58433
451	0.59365
452	0.60397
453	0.60375
454	0.61665
455	0.62642
456	0.63607
457	0.63786
458	0.65054
459	0.65986
460	0.66109
461	0.67265
462	0.67804
463	0.68724
464	0.69498
465	0.70766
466	0.71563
467	0.72405
468	0.73123
469	0.74313
470	0.75098
471	0.75917
472	0.76378
473	0.7769
474	0.7842
475	0.79306
476	0.80092
477	0.81225
478	0.82247
479	0.83358
480	0.84211
481	0.8485
482	0.85759
483	0.86152
484	0.87005
485	0.87577
486	0.88004
487	0.8852
488	0.8907
489	0.89743
490	0.9063
