Wavelength (nm)	Absorbance
350	0.31939
351	0.32102
352	0.32257
353	0.32358
354	0.32645
355	0.32762
356	0.33204
357	0.3346
358	0.33584
359	0.3391
360	0.34073
361	0.34244
362	0.34469
363	0.34632
364	0.34911
365	0.35059
366	0.35214
367	0.3561
368	0.35928
369	0.36246
370	0.36463
371	0.36859
372	0.37099
373	0.3741
374	0.37782
375	0.38201
376	0.38512
377	0.38838
378	0.39117
379	0.39482
380	0.39831
381	0.4025
382	0.40746
383	0.41072
384	0.41414
385	0.41926
386	0.42182
387	0.42717
388	0.43214
389	0.43517
390	0.44029
391	0.44502
392	0.44851
393	0.45263
394	0.45674
395	0.4614
396	0.46528
397	0.47226
398	0.47513
399	0.47823
400	0.48405
401	0.49647
402	0.49709
403	0.50663
404	0.5109
405	0.51672
406	0.52239
407	0.52704
408	0.53364
409	0.54054
410	0.54458
411	0.55211
412	0.55746
413	0.56351
414	0.57042
415	0.57733
416	0.58392
417	0.59098
418	0.59688
419	0.60441
420	0.61349
421	0.61969
422	0.62497
423	0.63056
424	0.63832
425	0.64367
426	0.64965
427	0.65702
428	0.66261
429	0.66881
430	0.67952
431	0.68084
432	0.69403
433	0.70071
434	0.70893
435	0.71584
436	0.726
437	0.73795
438	0.74641
439	0.75169
440	0.7603
441	0.76891
442	0.7707
443	0.78436
444	0.78614
445	0.79747
446	0.80368
447	0.80771
448	0.81765
449	0.82331
450	0.83278
451	0.83992
452	0.84969
453	0.84962
454	0.86195
455	0.86715
456	0.87693
457	0.87755
458	0.88849
459	0.89462
460	0.89617
461	0.90448
462	0.90898
463	0.91495
464	0.91953
465	0.92644
466	0.9335
467	0.93769
468	0.94126
469	0.94972
470	0.95251
471	0.95592
472	0.95973
473	0.96718
474	0.9685
475	0.97214
476	0.97657
477	0.98037
478	0.98401
479	0.98595
480	0.98999
481	0.99115
482	0.99317
483	0.99496
484	0.99674
485	0.9979
486	0.99713
487	0.99713
488	0.99922
489	0.99775
490	1
491	0.99806
492	0.99814
493	0.99449
494	0.99519
495	0.99496
496	0.99286
497	0.98999
498	0.98983
499	0.98603
500	0.98409
501	0.97936
502	0.97594
503	0.97183
504	0.96857
505	0.96485
506	0.95817
507	0.95375
508	0.94824
509	0.9446
510	0.93738
511	0.93071
512	0.92364
513	0.91612
514	0.90937
515	0.90099
516	0.89284
517	0.88593
518	0.87918
519	0.87111
520	0.86009
521	0.85
522	0.83844
523	0.82626
524	0.81477
525	0.80476
526	0.79018
527	0.7811
528	0.77396
529	0.76372
530	0.75634
531	0.74447
532	0.73128
533	0.72329
534	0.70327
535	0.70094
536	0.68371
537	0.67168
538	0.65679
539	0.65446
540	0.63444
541	0.62008
542	0.61387
543	0.60619
544	0.59347
545	0.58392
546	0.57143
547	0.55948
548	0.55723
549	0.53923
550	0.52215
551	0.50819
552	0.50338
553	0.49321
554	0.47466
555	0.46877
556	0.45821
557	0.44161
558	0.43129
559	0.4122
560	0.40009
561	0.39249
562	0.37487
563	0.36285
564	0.3509
565	0.33988
566	0.32956
567	0.31799
568	0.30193
569	0.29068
570	0.27935
571	0.26919
572	0.25933
573	0.24622
574	0.23434
575	0.2234
576	0.21231
577	0.20509
578	0.1957
579	0.18779
580	0.17591
581	0.1666
582	0.1607
583	0.14938
584	0.13882
585	0.13812
586	0.12811
587	0.12245
588	0.11787
589	0.11259
590	0.10856
591	0.10359
592	0.09863
593	0.09304
594	0.09265
595	0.08792
596	0.08528
597	0.08202
598	0.08008
599	0.07806
600	0.07636
601	0.07426
602	0.07271
603	0.07077
604	0.06945
605	0.06759
606	0.06666
607	0.06573
608	0.06472
609	0.06402
610	0.06309
611	0.06192
612	0.06138
613	0.06091
614	0.05983
615	0.05928
616	0.05866
617	0.05828
618	0.05742
619	0.05665
620	0.0561
621	0.05579
622	0.05533
623	0.05502
624	0.0544
625	0.05416
626	0.0537
627	0.05346
628	0.05308
629	0.053
630	0.05261
631	0.05215
632	0.05199
633	0.05168
634	0.05145
635	0.05106
636	0.05083
637	0.05067
638	0.05044
639	0.05005
640	0.04997
641	0.04966
642	0.04966
643	0.04927
644	0.04904
645	0.04865
646	0.04873
647	0.04842
648	0.04819
649	0.04819
650	0.0478
651	0.04764
652	0.04757
653	0.04749
654	0.04718
655	0.0471
656	0.04671
657	0.04664
658	0.04656
659	0.0464
660	0.04633
661	0.04625
662	0.04602
663	0.04609
664	0.04594
665	0.04578
666	0.04555
667	0.04547
