Wavelength (nm)	Absorbance
350	0.20335
351	0.20378
352	0.20421
353	0.20464
354	0.20615
355	0.20708
356	0.20931
357	0.21089
358	0.21233
359	0.21341
360	0.2142
361	0.21549
362	0.21585
363	0.21693
364	0.2175
365	0.21844
366	0.21916
367	0.21987
368	0.2211
369	0.22217
370	0.22361
371	0.22512
372	0.22649
373	0.22792
374	0.23051
375	0.23159
376	0.23396
377	0.23561
378	0.23712
379	0.23863
380	0.2405
381	0.24172
382	0.24373
383	0.24546
384	0.24747
385	0.2484
386	0.24984
387	0.25163
388	0.25472
389	0.25609
390	0.25882
391	0.26083
392	0.2627
393	0.26435
394	0.26665
395	0.26888
396	0.2701
397	0.27219
398	0.27527
399	0.277
400	0.2793
401	0.28512
402	0.28541
403	0.2908
404	0.29245
405	0.29547
406	0.29827
407	0.301
408	0.30466
409	0.30768
410	0.31005
411	0.31487
412	0.31709
413	0.32018
414	0.32478
415	0.32881
416	0.33254
417	0.33606
418	0.34016
419	0.34454
420	0.34993
421	0.35381
422	0.35712
423	0.36107
424	0.36473
425	0.3684
426	0.37242
427	0.37673
428	0.38083
429	0.38507
430	0.39197
431	0.39261
432	0.40188
433	0.40662
434	0.41295
435	0.41834
436	0.42631
437	0.43494
438	0.44183
439	0.44643
440	0.45355
441	0.46008
442	0.46885
443	0.46835
444	0.47963
445	0.48531
446	0.49199
447	0.49429
448	0.50514
449	0.50622
450	0.51735
451	0.52619
452	0.53539
453	0.5356
454	0.54775
455	0.55565
456	0.56471
457	0.56636
458	0.57735
459	0.58554
460	0.58705
461	0.59726
462	0.60236
463	0.61062
464	0.61687
465	0.62815
466	0.63663
467	0.64425
468	0.65122
469	0.663
470	0.67026
471	0.67788
472	0.68262
473	0.69498
474	0.70303
475	0.71481
476	0.72336
477	0.73134
478	0.74197
479	0.74973
480	0.76345
481	0.77122
482	0.77998
483	0.7858
484	0.7955
485	0.80175
486	0.80757
487	0.81138
488	0.81806
489	0.82626
490	0.83603
491	0.8417
492	0.84573
493	0.85471
494	0.85924
495	0.86319
496	0.86937
497	0.879
498	0.88259
499	0.89013
500	0.89567
501	0.90336
502	0.90803
503	0.91198
504	0.92024
505	0.92613
506	0.9298
507	0.9377
508	0.94209
509	0.94704
510	0.95286
511	0.95847
512	0.96522
513	0.97068
514	0.97514
515	0.97974
516	0.98441
517	0.98714
518	0.9903
519	0.99332
520	0.99425
521	0.99784
522	1
523	0.99885
524	0.99792
525	0.99655
526	0.99497
527	0.99087
528	0.98908
529	0.98584
530	0.98168
531	0.97464
532	0.96817
533	0.96393
534	0.95035
535	0.9502
536	0.93684
537	0.92958
538	0.91758
539	0.91564
540	0.90091
541	0.88992
542	0.88561
543	0.87979
544	0.87152
545	0.86642
546	0.85809
547	0.85263
548	0.85047
549	0.84178
550	0.83394
551	0.82856
552	0.82697
553	0.82238
554	0.81605
555	0.8139
556	0.81009
557	0.80448
558	0.79938
559	0.79054
560	0.78544
561	0.78106
562	0.77143
563	0.76331
564	0.75483
565	0.74549
566	0.73752
567	0.72789
568	0.70964
569	0.6962
570	0.68233
571	0.66918
572	0.65503
573	0.6344
574	0.61551
575	0.59302
576	0.57254
577	0.55651
578	0.53402
579	0.51541
580	0.48416
581	0.45915
582	0.44226
583	0.40777
584	0.3735
585	0.36984
586	0.33649
587	0.31314
588	0.29712
589	0.27757
590	0.26105
591	0.2415
592	0.22124
593	0.19782
594	0.19588
595	0.17683
596	0.16606
597	0.15334
598	0.14464
599	0.13638
600	0.13027
601	0.12237
602	0.11712
603	0.109
604	0.10297
