Wavelength (nm)	Absorbance
350	0.50536
351	0.50512
352	0.50606
353	0.5063
354	0.50802
355	0.50872
356	0.51209
357	0.51444
358	0.5153
359	0.51757
360	0.51936
361	0.52054
362	0.52249
363	0.52375
364	0.52547
365	0.52703
366	0.52781
367	0.53047
368	0.53274
369	0.53493
370	0.5372
371	0.54033
372	0.54213
373	0.54495
374	0.54808
375	0.5505
376	0.55434
377	0.557
378	0.55958
379	0.56216
380	0.56553
381	0.56881
382	0.57233
383	0.57515
384	0.57812
385	0.58196
386	0.58399
387	0.5879
388	0.59158
389	0.59338
390	0.59706
391	0.60074
392	0.60347
393	0.60629
394	0.60958
395	0.61271
396	0.6149
397	0.62053
398	0.62241
399	0.62491
400	0.62882
401	0.63782
402	0.63876
403	0.64596
404	0.64854
405	0.65331
406	0.65644
407	0.66122
408	0.66544
409	0.67037
410	0.67295
411	0.67772
412	0.68164
413	0.68453
414	0.68977
415	0.69392
416	0.69799
417	0.70143
418	0.70542
419	0.70855
420	0.71426
421	0.71724
422	0.7206
423	0.7235
424	0.72709
425	0.73054
426	0.73351
427	0.73781
428	0.74149
429	0.74509
430	0.75221
431	0.75299
432	0.76168
433	0.76559
434	0.77122
435	0.77607
436	0.7828
437	0.79
438	0.79649
439	0.799
440	0.80565
441	0.81144
442	0.81676
443	0.81817
444	0.82552
445	0.82896
446	0.83303
447	0.83483
448	0.84234
449	0.84336
450	0.84962
451	0.85424
452	0.86112
453	0.86042
454	0.86754
455	0.87215
456	0.87716
457	0.8774
458	0.88444
459	0.88882
460	0.89054
461	0.89453
462	0.89735
463	0.90165
464	0.90548
465	0.91041
466	0.91472
467	0.92004
468	0.92215
469	0.92739
470	0.93029
471	0.93263
472	0.93733
473	0.94124
474	0.94515
475	0.94734
476	0.95118
477	0.95235
478	0.95814
479	0.96119
480	0.96401
481	0.96714
482	0.96863
483	0.97019
484	0.97332
485	0.97653
486	0.97606
487	0.97817
488	0.97911
489	0.9802
490	0.98388
491	0.98513
492	0.98607
493	0.98858
494	0.98889
495	0.99038
496	0.99225
497	0.99374
498	0.99577
499	0.99648
500	0.9975
501	0.99859
502	0.9989
503	0.99781
504	0.99906
505	0.99953
506	1
507	0.9993
508	0.99875
509	0.99797
510	0.99734
511	0.99538
512	0.99491
513	0.99468
514	0.99398
515	0.99163
516	0.98952
517	0.98834
518	0.98732
519	0.98693
520	0.98333
521	0.98091
522	0.97919
523	0.97473
524	0.97269
525	0.96831
526	0.96471
527	0.96237
528	0.95971
529	0.95705
530	0.95454
531	0.95126
532	0.94805
533	0.94578
534	0.93952
535	0.93913
536	0.93256
537	0.92958
538	0.92364
539	0.92364
540	0.91628
541	0.91135
542	0.91026
543	0.90603
544	0.90142
545	0.8986
546	0.89375
547	0.88952
548	0.88796
549	0.8799
550	0.8727
551	0.86715
552	0.86464
553	0.85987
554	0.85259
555	0.84978
556	0.84563
557	0.83663
558	0.83233
559	0.82231
560	0.81645
561	0.81183
562	0.80291
563	0.79649
564	0.78937
565	0.7821
566	0.7785
567	0.77028
568	0.76019
569	0.75401
570	0.74673
571	0.74063
572	0.73476
573	0.72537
574	0.71794
575	0.70965
576	0.703
577	0.69721
578	0.68946
579	0.68351
580	0.67491
581	0.66716
582	0.66184
583	0.65183
584	0.64111
585	0.64079
586	0.63039
587	0.62374
588	0.61865
589	0.61185
590	0.60637
591	0.59909
592	0.59127
593	0.58094
594	0.58047
595	0.57163
596	0.56553
597	0.55809
598	0.55324
599	0.54651
600	0.54198
601	0.53501
602	0.52985
603	0.52023
604	0.51256
605	0.50763
606	0.50239
607	0.49722
608	0.49135
609	0.48611
610	0.48017
611	0.47336
612	0.46796
613	0.46413
614	0.45638
615	0.45043
616	0.44425
617	0.43862
618	0.43142
619	0.42344
620	0.4182
621	0.41225
622	0.4056
623	0.40091
624	0.39293
625	0.38815
626	0.37994
627	0.37462
628	0.36899
629	0.36805
630	0.35952
631	0.35068
632	0.34637
633	0.33972
634	0.33495
635	0.32877
636	0.32415
637	0.31969
638	0.31234
639	0.30584
640	0.30162
641	0.29513
642	0.29301
643	0.2848
644	0.28073
645	0.27165
646	0.27079
647	0.26344
648	0.25726
649	0.25374
650	0.24669
651	0.24302
652	0.23762
653	0.23363
654	0.22792
655	0.22275
656	0.21861
657	0.21375
658	0.21023
659	0.20679
660	0.20092
661	0.19717
662	0.19255
663	0.18911
664	0.1852
665	0.18191
666	0.17737
667	0.17213
668	0.16892
669	0.16556
670	0.1629
671	0.15687
672	0.15288
673	0.15077
674	0.14725
675	0.14404
676	0.13982
677	0.13677
678	0.13481
679	0.13019
680	0.12988
681	0.1262
682	0.12503
683	0.12057
684	0.11814
685	0.11611
686	0.11431
687	0.11063
688	0.10899
689	0.10672
690	0.1043
691	0.10312
692	0.10015
693	0.09827
694	0.09678
695	0.09389
696	0.09248
697	0.0899
698	0.08849
699	0.08724
700	0.0863
701	0.08434
702	0.08317
703	0.08192
704	0.08074
705	0.07941
706	0.07793
707	0.07629
708	0.07535
709	0.07433
710	0.07339
711	0.07214
712	0.0712
713	0.07057
714	0.0694
715	0.06846
716	0.06776
717	0.0669
718	0.0665
719	0.06541
720	0.06471
721	0.06392
722	0.06353
723	0.06283
724	0.0622
725	0.06165
726	0.06126
727	0.06064
728	0.06017
729	0.05978
730	0.05915
731	0.05899
732	0.0586
733	0.05821
734	0.05798
735	0.05759
736	0.05766
737	0.05704
738	0.0568
739	0.05657
740	0.05618
741	0.0561
742	0.05555
743	0.05555
744	0.05485
745	0.05469
746	0.05414
747	0.05375
748	0.05352
749	0.0532
750	0.05266
751	0.05273
752	0.05195
753	0.05172
754	0.05125
755	0.05109
756	0.05078
757	0.05062
758	0.05007
759	0.04968
760	0.04937
761	0.04929
762	0.04898
763	0.04898
764	0.04882
765	0.04859
766	0.04851
767	0.04812
768	0.04804
769	0.04796
770	0.04773
771	0.04734
772	0.04718
773	0.04734
774	0.04679
775	0.04671
776	0.04679
777	0.04648
778	0.04624
779	0.04608
780	0.04601
781	0.04585
782	0.04601
783	0.04561
784	0.04538
785	0.04522
786	0.04499
787	0.04499
788	0.04468
789	0.04444
790	0.04444
791	0.04421
792	0.04413
793	0.04382
794	0.04374
795	0.04374
796	0.04358
797	0.0435
798	0.0435
799	0.04327
800	0.04311
