Wavelength (nm)	Absorbance
350	0.27283
351	0.27283
352	0.27337
353	0.27276
354	0.27483
355	0.27698
356	0.2796
357	0.28183
358	0.28398
359	0.2879
360	0.28851
361	0.29182
362	0.29443
363	0.29543
364	0.2982
365	0.29958
366	0.30074
367	0.30366
368	0.30566
369	0.30766
370	0.30935
371	0.31204
372	0.31365
373	0.31627
374	0.31896
375	0.32096
376	0.32449
377	0.32695
378	0.32949
379	0.33264
380	0.33595
381	0.33987
382	0.34417
383	0.34709
384	0.35117
385	0.35624
386	0.35878
387	0.36355
388	0.36823
389	0.37093
390	0.37523
391	0.37931
392	0.38253
393	0.38499
394	0.38799
395	0.39122
396	0.39337
397	0.39622
398	0.40006
399	0.40191
400	0.40583
401	0.41459
402	0.41513
403	0.42335
404	0.42712
405	0.43319
406	0.43904
407	0.44411
408	0.45065
409	0.45764
410	0.46241
411	0.47002
412	0.47517
413	0.48024
414	0.48647
415	0.49154
416	0.497
417	0.50123
418	0.50554
419	0.51053
420	0.5153
421	0.51937
422	0.52368
423	0.52698
424	0.53275
425	0.5379
426	0.54282
427	0.54989
428	0.55581
429	0.56273
430	0.57534
431	0.5768
432	0.5924
433	0.6014
434	0.61208
435	0.62185
436	0.63507
437	0.64883
438	0.66021
439	0.66636
440	0.67605
441	0.68489
442	0.6925
443	0.69388
444	0.70372
445	0.7081
446	0.71256
447	0.71448
448	0.72156
449	0.72163
450	0.72909
451	0.73416
452	0.74093
453	0.74085
454	0.75
455	0.75823
456	0.76622
457	0.76768
458	0.77875
459	0.78821
460	0.78998
461	0.80204
462	0.80673
463	0.81688
464	0.82457
465	0.83725
466	0.84679
467	0.85593
468	0.86216
469	0.87285
470	0.88061
471	0.88615
472	0.89314
473	0.90191
474	0.90706
475	0.91428
476	0.91943
477	0.92351
478	0.9292
479	0.93442
480	0.93981
481	0.94311
482	0.94534
483	0.94796
484	0.95126
485	0.95464
486	0.9558
487	0.95718
488	0.9601
489	0.96256
490	0.96725
491	0.96925
492	0.97086
493	0.97601
494	0.97771
495	0.97994
496	0.98147
497	0.98632
498	0.98808
499	0.992
500	0.99347
501	0.99569
502	0.99654
503	0.99616
504	1
505	0.99962
506	0.99869
507	0.99862
508	0.99808
509	0.99746
510	0.996
511	0.99462
512	0.99439
513	0.99208
514	0.99277
515	0.99062
516	0.98793
517	0.98762
518	0.98493
519	0.98609
520	0.98163
521	0.97863
522	0.97494
523	0.97063
524	0.96571
525	0.96018
526	0.95195
527	0.94803
528	0.94227
529	0.93642
530	0.9315
531	0.92251
532	0.91152
533	0.90675
534	0.89168
535	0.88845
536	0.874
537	0.86439
538	0.85201
539	0.84971
540	0.83226
541	0.81873
542	0.81242
543	0.80527
544	0.79497
545	0.78621
546	0.77652
547	0.76561
548	0.76399
549	0.74946
550	0.73662
551	0.72594
552	0.72279
553	0.71533
554	0.70303
555	0.69865
556	0.69234
557	0.68073
558	0.67382
559	0.66121
560	0.65275
561	0.64776
562	0.63492
563	0.62615
564	0.61685
565	0.6074
566	0.5994
567	0.58918
568	0.57311
569	0.56188
570	0.55074
571	0.53998
572	0.52768
573	0.51315
574	0.49808
575	0.48232
576	0.46733
577	0.45587
578	0.44096
579	0.42704
580	0.40629
581	0.38899
582	0.37685
583	0.35294
584	0.32795
585	0.32626
586	0.30281
587	0.2859
588	0.27345
589	0.25807
590	0.24646
591	0.2234
592	0.21079
593	0.19796
594	0.18558
595	0.17666
596	0.16613
597	0.15498
598	0.14683
599	0.13907
600	0.13338
601	0.12515
602	0.12016
603	0.11216
604	0.10601
605	0.10255
606	0.09932
607	0.09663
608	0.09363
609	0.09133
610	0.08895
611	0.08656
612	0.08479
613	0.08395
614	0.08172
615	0.08049
616	0.07911
617	0.07818
618	0.07688
619	0.07572
620	0.07488
621	0.07411
622	0.07319
623	0.0728
624	0.07203
625	0.07165
626	0.07088
627	0.07034
628	0.06988
629	0.06965
630	0.06911
631	0.0685
632	0.06827
633	0.0678
634	0.06757
635	0.06696
636	0.06681
637	0.0665
638	0.06611
639	0.06573
640	0.06542
641	0.06534
642	0.06496
643	0.06458
644	0.06458
645	0.06404
646	0.06373
647	0.06373
648	0.06327
649	0.06312
650	0.06281
651	0.06265
652	0.06242
653	0.06212
654	0.06188
655	0.06165
656	0.06142
657	0.06142
658	0.06112
659	0.06089
660	0.06065
661	0.06058
662	0.06012
663	0.06027
664	0.06019
665	0.05996
666	0.05973
667	0.05966
668	0.05935
669	0.05935
670	0.05904
671	0.05896
672	0.05873
673	0.05858
674	0.05835
675	0.05827
676	0.05819
677	0.05789
678	0.05789
679	0.0575
680	0.05766
681	0.05758
682	0.05727
683	0.05727
684	0.05704
685	0.05689
686	0.05681
687	0.05673
688	0.05658
689	0.05643
690	0.05635
691	0.05635
692	0.05597
693	0.05589
694	0.05573
695	0.05558
696	0.05573
697	0.0552
698	0.05504
699	0.05504
700	0.05504
701	0.05504
702	0.05474
703	0.05474
704	0.05474
705	0.05474
706	0.05443
707	0.05435
708	0.05443
709	0.05427
710	0.05412
711	0.05412
712	0.05404
713	0.05404
714	0.05381
715	0.05381
716	0.05366
717	0.05358
718	0.05351
719	0.05351
720	0.05351
721	0.05335
722	0.0532
723	0.05335
724	0.05327
725	0.05327
726	0.05312
727	0.05327
728	0.05327
729	0.05343
730	0.05327
731	0.05312
732	0.05304
733	0.05327
734	0.05343
735	0.05343
736	0.05343
737	0.05358
738	0.05351
739	0.05351
740	0.05358
741	0.05351
742	0.05343
743	0.05335
744	0.0532
745	0.0532
746	0.05281
747	0.05274
748	0.05289
749	0.05251
750	0.05243
751	0.05251
752	0.05212
753	0.05212
754	0.05197
755	0.05181
756	0.05189
757	0.05143
758	0.05151
759	0.0512
760	0.05105
761	0.05112
762	0.05105
763	0.05105
764	0.05089
765	0.05081
766	0.05081
767	0.05066
768	0.05089
769	0.05058
770	0.05066
771	0.05043
772	0.05028
773	0.05043
774	0.05012
775	0.05012
776	0.05028
777	0.04997
778	0.05012
779	0.04997
780	0.04997
781	0.04974
782	0.04989
783	0.04982
784	0.04989
785	0.04966
786	0.04966
787	0.04958
788	0.04935
789	0.04928
790	0.04928
791	0.04928
792	0.04912
793	0.04905
794	0.04889
795	0.04889
796	0.04889
797	0.04889
798	0.04897
799	0.04889
800	0.04874
