Wavelength (nm)	Absorbance
350	0.44048
351	0.44527
352	0.44869
353	0.45323
354	0.45983
355	0.46375
356	0.47321
357	0.47987
358	0.48385
359	0.48933
360	0.49362
361	0.49848
362	0.5032
363	0.50731
364	0.51298
365	0.51758
366	0.52051
367	0.52903
368	0.53214
369	0.54198
370	0.54801
371	0.55523
372	0.56226
373	0.56836
374	0.58106
375	0.58429
376	0.59481
377	0.60184
378	0.61068
379	0.61833
380	0.62972
381	0.63819
382	0.64889
383	0.66078
384	0.66986
385	0.67901
386	0.68511
387	0.69675
388	0.70988
389	0.72145
390	0.73097
391	0.73813
392	0.74933
393	0.75779
394	0.76657
395	0.77366
396	0.78119
397	0.78879
398	0.79625
399	0.80148
400	0.81312
401	0.83297
402	0.84405
403	0.85127
404	0.85793
405	0.86689
406	0.87759
407	0.88207
408	0.88979
409	0.89838
410	0.90485
411	0.91443
412	0.92022
413	0.92601
414	0.93354
415	0.94231
416	0.9499
417	0.95414
418	0.95955
419	0.96559
420	0.97312
421	0.97424
422	0.97903
423	0.98083
424	0.98164
425	0.99098
426	0.98662
427	0.99123
428	0.99166
429	0.99546
430	0.99745
431	0.99658
432	0.99876
433	1
434	0.99925
435	0.99739
436	0.99745
437	0.99284
438	0.98998
439	0.98973
440	0.98538
441	0.98413
442	0.97617
443	0.97903
444	0.96814
445	0.96341
446	0.95855
447	0.95613
448	0.94486
449	0.93715
450	0.93229
451	0.91711
452	0.91188
453	0.898
454	0.88524
455	0.88244
456	0.86297
457	0.85793
458	0.83963
459	0.82276
460	0.82233
461	0.80465
462	0.7942
463	0.77609
464	0.76539
465	0.74273
466	0.72767
467	0.71174
468	0.69544
469	0.67478
470	0.65648
471	0.6426
472	0.63146
473	0.60029
474	0.58379
475	0.56251
476	0.54552
477	0.52038
478	0.49754
479	0.47607
480	0.44589
481	0.42803
482	0.40699
483	0.39561
484	0.37457
485	0.35808
486	0.34514
487	0.33462
488	0.31869
489	0.30232
490	0.28409
491	0.26959
492	0.25963
493	0.24177
494	0.23144
495	0.22603
496	0.21246
497	0.19447
498	0.18657
499	0.17556
500	0.1674
501	0.1562
502	0.14774
503	0.14201
504	0.13361
505	0.12689
506	0.12197
507	0.11556
508	0.11177
509	0.10729
510	0.10218
511	0.09876
512	0.09441
513	0.09073
514	0.08787
515	0.08457
516	0.08208
517	0.07972
518	0.07779
519	0.07592
520	0.07393
