Wavelength (nm)	Absorbance
350	0.29154
351	0.29135
352	0.29213
353	0.294
354	0.29469
355	0.29577
356	0.29744
357	0.29892
358	0.29961
359	0.30256
360	0.30285
361	0.30452
362	0.30669
363	0.30836
364	0.31062
365	0.31229
366	0.31396
367	0.3176
368	0.31898
369	0.32439
370	0.32724
371	0.33078
372	0.33451
373	0.33707
374	0.34258
375	0.34405
376	0.34769
377	0.34975
378	0.35211
379	0.35447
380	0.35801
381	0.35959
382	0.36293
383	0.36598
384	0.3704
385	0.37198
386	0.37414
387	0.37896
388	0.38427
389	0.39076
390	0.39499
391	0.39735
392	0.40354
393	0.40826
394	0.41278
395	0.41554
396	0.42124
397	0.4237
398	0.42812
399	0.42999
400	0.4355
401	0.44356
402	0.44749
403	0.45143
404	0.45457
405	0.4587
406	0.46175
407	0.46431
408	0.46873
409	0.47424
410	0.47729
411	0.48378
412	0.48869
413	0.49381
414	0.50108
415	0.50787
416	0.51445
417	0.52006
418	0.52557
419	0.53215
420	0.541
421	0.54582
422	0.55113
423	0.55723
424	0.56185
425	0.56814
426	0.5706
427	0.57719
428	0.58279
429	0.58781
430	0.59833
431	0.59912
432	0.61101
433	0.61583
434	0.62419
435	0.63058
436	0.64051
437	0.65221
438	0.66067
439	0.66765
440	0.6767
441	0.68574
442	0.69459
443	0.69715
444	0.70836
445	0.71662
446	0.7233
447	0.72694
448	0.73894
449	0.74592
450	0.75074
451	0.76096
452	0.76323
453	0.77207
454	0.77935
455	0.77984
456	0.79145
457	0.79282
458	0.80039
459	0.80757
460	0.80964
461	0.81721
462	0.82183
463	0.82842
464	0.83314
465	0.84149
466	0.84985
467	0.85585
468	0.86205
469	0.86971
470	0.8767
471	0.88289
472	0.88604
473	0.89577
474	0.90285
475	0.91013
476	0.91524
477	0.92399
478	0.93137
479	0.93736
480	0.94582
481	0.95005
482	0.95388
483	0.95801
484	0.96136
485	0.96519
486	0.96657
487	0.9704
488	0.97188
489	0.97463
490	0.9765
491	0.97896
492	0.9825
493	0.98604
494	0.98515
495	0.98653
496	0.9885
497	0.99125
498	0.99007
499	0.99233
500	0.99302
501	0.99538
502	0.99725
503	0.99774
504	0.99902
505	1
506	0.99912
507	0.99902
