id,monomer_A ,smiles_A,Percentage of A %,monomer_B,smiles_B,Percentage of B %,monomer_C,smiles_C,Percentage of C %,ratios,num_monomers,Bandgap (eV),L* (Colored State),a* (Colored State),b*(Colored State),color
A4-50-A2-50 Orange,A4,*c1sc(*)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,50,A2,*c1sc(*)c2OCC(COCCCCCC)(COCCCCCC)COc12,50,0,0,0,50_50,2,1.95,61,52,22,orange
A4-65-A2-35 Red,A4,*c1sc(*)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,65,A2,*c1sc(*)c2OCC(COCCCCCC)(COCCCCCC)COc12,35,0,0,0,65_35,2,1.97,59,59,4,red
A4-80-A2-20 Orange,A4,*c1sc(*)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,80,A2,*c1sc(*)c2OCC(COCCCCCC)(COCCCCCC)COc12,20,0,0,0,80_20,2,1.96,60,55,19,orange
A4-100-A2-0 Red,A4,*c1sc(*)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,100,0,0,0,0,0,0,100_0,2,1.98,58,65,-10,red
A4-35-A2-35 Orange,A4,*c1sc(*)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,65,A2,*c1sc(*)c2OCC(COCCCCCC)(COCCCCCC)COc12,35,0,0,0,65_35,2,1.96,63,53,23,orange
A4-20-A2-80 Orange,A4,*c1sc(*)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,20,A2,*c1sc(*)c2OCC(COCCCCCC)(COCCCCCC)COc12,80,0,0,0,80_20,2,1.97,65,52,21,orange
A4-0-A2-100 Orange,A2,*c1sc(*)c2OCC(COCCCCCC)(COCCCCCC)COc12,100,0,0,0,0,0,0,100_0,2,1.99,65,55,14,orange
A2-50-B3-50 Yellow,A2,*c1sc(*)c2OCC(COCCCCCC)(COCCCCCC)COc12,50,B3,C1=CC(=CC=C1*)*,50,0,0,0,50_50,2,2.38,95,-18,63,yellow
A2-65-B3-35 Orange,A2,*c1sc(*)c2OCC(COCCCCCC)(COCCCCCC)COc12,65,B3,C1=CC(=CC=C1*)*,35,0,0,0,65_35,2,1.99,71,41,44,orange
A2-80-B3-20 Red,A2,*c1sc(*)c2OCC(COCCCCCC)(COCCCCCC)COc12,80,B3,C1=CC(=CC=C1*)*,20,0,0,0,80_20,2,2,66,56,21,red
A2-65-B5-35 Magenta,A2,*c1sc(*)c2OCC(COCCCCCC)(COCCCCCC)COc12,65,B5,*c1ccc(*)c2nsnc12,35,0,0,0,65_35,2,1.69,45,32,-13,magenta
A2-80-B5-20 Magenta,A2,*c1sc(*)c2OCC(COCCCCCC)(COCCCCCC)COc12,80,B5,*c1ccc(*)c2nsnc12,20,0,0,0,80_20,2,1.64,50,33,10,magenta
A2-65-A3-35 Orange,A2,*c1sc(*)c2OCC(COCCCCCC)(COCCCCCC)COc12,65,A3,*c1sc(*)c2OCCOc12,35,0,0,0,65_35,2,1.98,64,56,10,orange
A2-80-A3-20 Red,A2,*c1sc(*)c2OCC(COCCCCCC)(COCCCCCC)COc12,80,A3,*c1sc(*)c2OCCOc12,20,0,0,0,80_20,2,1.99,62,61,3,red
A4-50-B3-50 Yellow,A4,*c1sc(*)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,50,B3,C1=CC(=CC=C1*)*,50,0,0,0,50_50,2,2.34,93,-17,70,yellow
A4-75-B3-25 Orange,A4,*c1sc(*)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,75,B3,C1=CC(=CC=C1*)*,25,0,0,0,75_25,2,1.98,58,65,-10,orange
A4-90-B3-10 Red,A4,*c1sc(*)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,90,B3,C1=CC(=CC=C1*)*,10,0,0,0,90_10,2,1.94,64,52,26,red
